uf,territorio,titulo,escolas_conectadas_nivel_4_5,eti_matriculas_fomentadas,eti_valor_fomentado,cnca_cantinho_leitura,cnca_escolas_apoiadas,cnca_valor_cantinhos,cnca_articuladores_renalpha_2025,cnca_repasse_articuladores_renalpha,cnca_valor_materiais,cnca_valor_formacao,cnca_total_investido,pdm_estudantes_beneficiados,pdm_valor_investido,pdm_abrangencia,pdm_referencia,obras_total_aprovadas,obras_valor_previsto,obras_valor_repassado,novo_pac_creches,novo_pac_creches_valor_previsto,novo_pac_eti,novo_pac_eti_valor_previsto,novo_pac_onibus,novo_pac_onibus_valor_previsto,novo_pac_superior_expansao,novo_pac_superior_total_previsto,novo_pac_superior_consolidacao,novo_pac_ept_expansao,novopac_ept_expansao_valor,novo_pac_ept_consolidacao,novo_pac_ept_total_previsto,novo_pac_hu_valor_previsto,fundeb_2023,fundeb_2024,fundeb_2025,fundeb_2026,fundeb_valor_repassado_VAAF,fundeb_valor_repassado_VAAT,fundeb_valor_repassado_VAAR,pnae_escolas_apoiadas,pnae_valor_investido,pnae_abrangencia,pnae_referencia,pnate_estudantes_beneficiados,pnate_valor_investido,pnate_abrangencia,pnate_referencia,if_matriculas,if_numero,if_campi,uf_instituicoes,uf_campi,uf_matriculas_graduacao
PI,Piauí,BRIEFING – Visita Ministerial ao Piauí,"2.985 (83,9 %)",36.180,R$ 226.32  milhões,3.623,1.936,R$ 4.47 milhões,289,R$ 9.88 milhões,R$ 5.02 milhões,R$ 36.78 milhões,R$ 56.16 milhões,187.389,R$ 569.35  milhões,2024-2026,Março/2026,123,R$ 110.40  milhões,R$ 66.22  milhões,75,R$ 321.94  milhões,41,R$ 389.42  milhões,148,R$ 71.73  milhões,0,R$ 39.25  milhões,R$ 39.25  milhões,5,R$ 90.00 milhões,R$ 24.48 milhões,R$ 114.48 milhões,Não se aplica,R$ 5.89 bilhões,R$ 6.71 bilhões,R$ 7.93 bilhões,R$ 2.22 bilhões,R$ 444.72 milhões,R$ 483.81 milhões,R$ 64.93 milhões,3.587,R$ 503.81 milhões,2023-2025,Dezembro/25,159.539,R$ 104.43 milhões,2023-2025,Dezembro/25,"33,1 mil",1,20,3,6,31.942
BA,Bahia,BRIEFING – Visita Ministerial à Bahia,"9.332 (69,8 %)",180.663,R$ 955.37  milhões,13.124,8.163,R$ 16.21 milhões,498,R$ 15.76 milhões,R$ 14.43 milhões,R$ 66.31 milhões,R$ 112.71 milhões,708.952,R$ 2.11  bilhões,2024-2026,Março/2026,294,R$ 389.15  milhões,R$ 216.26  milhões,134,R$ 597.05  milhões,62,R$ 629.15  milhões,344,R$ 162.75  milhões,2,R$ 317.15  milhões,R$ 257.15  milhões,8,R$ 200.00 milhões,R$ 40.08 milhões,R$ 240.08 milhões,R$ 34.60  milhões,R$ 20.25 bilhões,R$ 24.38 bilhões,R$ 27.71 bilhões,R$ 6.95 bilhões,R$ 1.50 bilhões,R$ 1.41 bilhões,R$ 104.73 milhões,13.660,R$ 1.49 bilhões,2023-2025,Dezembro/25,589.097,R$ 358.06 milhões,2023-2025,Dezembro/25,"51,9 mil",2,38,6,23,56.447
MG,"Minas Gerais",BRIEFING – Visita Ministerial a Minas Gerais,"8.893 (73,7 %)",241.901,R$ 635.23  milhões,18.011,5.121,R$ 22.24 milhões,996,R$ 33.01 milhões,R$ 22.61 milhões,R$ 66.96 milhões,R$ 144.81 milhões,600.667,R$ 1.66  bilhões,2024-2026,Março/2026,121,R$ 141.32  milhões,R$ 77.51  milhões,135,R$ 540.33  milhões,39,R$ 321.94  milhões,200,R$ 92.00  milhões,2,R$ 453.92  milhões,R$ 393.92  milhões,15,R$ 225.00 milhões,R$ 195.11 milhões,R$ 420.11 milhões,R$ 303.46  milhões,R$ 23.86 bilhões,R$ 26.99 bilhões,R$ 29.21 bilhões,R$ 7.69 bilhões,R$ 0,R$ 109.04 milhões,R$ 47.12 milhões,12.958,R$ 1.92 bilhões,2023-2025,Dezembro/25,360.790,R$ 179.57 milhões,2023-2025,Dezembro/25,"163,5 mil",5,58,11,39,181.586
AM,Amazonas,BRIEFING – Visita Ministerial ao Amazonas,"3.028 (58,7 %)",50.836,R$ 291.83  milhões,3.889,1.817,R$ 4.80 milhões,91,R$ 3.24 milhões,R$ 4.95 milhões,R$ 37.19 milhões,R$ 50.18 milhões,248.834,R$ 731.22  milhões,2024-2026,Março/2026,122,R$ 196.51  milhões,R$ 90.96  milhões,45,R$ 183.43  milhões,18,R$ 181.18  milhões,59,R$ 28.45  milhões,2,R$ 106.50  milhões,R$ 46.50  milhões,2,R$ 50.00 milhões,R$ 56.83 milhões,R$ 106.83 milhões,Não se aplica,R$ 6.76 bilhões,R$ 8.38 bilhões,R$ 9.10 bilhões,R$ 2.05 bilhões,R$ 376.91 milhões,R$ 374.96 milhões,R$ 72.77 milhões,5.150,R$ 541.23 milhões,2023-2025,Dezembro/25,126.838,R$ 102.21 milhões,2023-2025,Dezembro/25,"24,1 mil",1,17,1,7,24.802
RR,Roraima,BRIEFING – Visita Ministerial a Roraima,"460 (53,2 %)",7.423,R$ 27.42  milhões,417,114,"R$ 514,995",29,R$ 1.11 milhões,"R$ 390,999",R$ 5.00 milhões,R$ 7.01 milhões,26.324,R$ 74.03  milhões,2024-2026,Março/2026,6,R$ 8.33  milhões,R$ 3.01  milhões,5,R$ 23.36  milhões,4,R$ 43.01  milhões,16,R$ 8.04  milhões,0,R$ 8.40  milhões,R$ 8.40  milhões,1,R$ 25.00 milhões,R$ 21.05 milhões,R$ 46.05 milhões,R$ 50.00  milhões,R$ 1.47 bilhões,R$ 1.73 bilhões,R$ 1.91 bilhões,R$ 452.97 milhões,R$ 0,R$ 8.11 milhões,R$ 1.42 milhões,858,R$ 80.46 milhões,2023-2025,Dezembro/25,20.637,R$ 11.18 milhões,2023-2025,Dezembro/25,"7,2 mil",1,5,1,3,6.563
ES,"Espirito Santo",BRIEFING – Visita Ministerial ao Espírito Santo,"1.998 (75,9 %)",35.755,R$ 168.17  milhões,3.840,1.315,R$ 4.74 milhões,113,R$ 3.96 milhões,R$ 5.32 milhões,"R$ 624,559",R$ 14.65 milhões,113.497,R$ 305.84  milhões,2024-2026,Março/2026,6,R$ 9.75  milhões,R$ 5.94  milhões,44,R$ 191.25  milhões,20,R$ 198.97  milhões,46,R$ 22.03  milhões,0,R$ 33.00  milhões,R$ 33.00  milhões,1,R$ 25.00 milhões,R$ 24.90 milhões,R$ 49.90 milhões,R$ 30.00  milhões,R$ 5.27 bilhões,R$ 6.11 bilhões,R$ 6.72 bilhões,R$ 1.51 bilhões,R$ 0,R$ 66.07 milhões,R$ 29.38 milhões,2.686,R$ 343.35 milhões,2023-2025,Dezembro/25,75.731,R$ 45.81 milhões,2023-2025,Dezembro/25,"55,0 mil",1,23,1,4,30.312
RN,"Rio Grande do Norte",BRIEFING – Visita Ministerial ao Rio Grande do Norte,"2.248 (82,9 %)",42.296,R$ 158.45  milhões,2.856,1.504,R$ 3.53 milhões,217,R$ 7.42 milhões,R$ 4.05 milhões,R$ 26.61 milhões,R$ 41.62 milhões,140.443,R$ 440.90  milhões,2024-2026,Março/2026,81,R$ 68.97  milhões,R$ 37.56  milhões,50,R$ 211.82  milhões,24,R$ 235.34  milhões,130,R$ 62.53  milhões,0,R$ 68.70  milhões,R$ 68.70  milhões,3,R$ 75.00 milhões,R$ 13.10 milhões,R$ 88.10 milhões,R$ 40.00  milhões,R$ 4.15 bilhões,R$ 4.69 bilhões,R$ 5.21 bilhões,R$ 1.28 bilhões,R$ 0,R$ 118.72 milhões,R$ 20.89 milhões,2.694,R$ 323.71 milhões,2023-2025,Dezembro/25,94.425,R$ 51.87 milhões,2023-2025,Dezembro/25,"45,4 mil",1,22,2,9,49.126
RO,Rondônia,BRIEFING – Visita Ministerial ao Rondônia,"758 (73,9 %)",10.718,R$ 42.51  milhões,1.201,463,R$ 1.48 milhões,108,R$ 4.00 milhões,R$ 1.58 milhões,R$ 12.60 milhões,R$ 19.66 milhões,65.571,R$ 173.92  milhões,2024-2026,Março/2026,23,R$ 27.15  milhões,R$ 18.03  milhões,25,R$ 109.28  milhões,7,R$ 79.31  milhões,38,R$ 14.25  milhões,0,R$ 16.30  milhões,R$ 16.30  milhões,1,R$ 25.00 milhões,R$ 26.20 milhões,R$ 51.20 milhões,Não se aplica,R$ 2.69 bilhões,R$ 3.07 bilhões,R$ 3.33 bilhões,R$ 785.12 milhões,R$ 0,"R$ 782,651",R$ 7.05 milhões,1.065,R$ 169.85 milhões,2023-2025,Dezembro/25,61.667,R$ 30.78 milhões,2023-2025,Dezembro/25,"21,9 mil",1,10,1,8,11.054
AC,Acré,BRIEFING – Visita Ministerial ao Acre,"848 (57,1 %)",12.928,R$ 62.42  milhões,1.083,617,R$ 1.34 milhões,39,R$ 1.48 milhões,R$ 1.67 milhões,R$ 3.05 milhões,R$ 7.54 milhões,46.636,R$ 139.65  milhões,2024-2026,Março/2026,27,R$ 38.88  milhões,R$ 20.10  milhões,8,R$ 31.75  milhões,11,R$ 116.93  milhões,33,R$ 17.05  milhões,0,R$ 40.00  milhões,R$ 40.00  milhões,1,R$ 25.00 milhões,R$ 8.58 milhões,R$ 33.58 milhões,R$ 50.00  milhões,R$ 1.83 bilhões,R$ 2.15 bilhões,R$ 2.36 bilhões,R$ 580.26 milhões,R$ 0,R$ 33.09 milhões,R$ 2.13 milhões,1.475,R$ 101.48 milhões,2023-2025,Dezembro/25,46.371,R$ 30.86 milhões,2023-2025,Dezembro/25,"6,8 mil",1,6,1,3,10.091
AP,Amapá,BRIEFING – Visita Ministerial ao Amapá,"248 (31,6 %)",13.813,R$ 35.87  milhões,423,149,"R$ 522,405",35,R$ 1.35 milhões,"R$ 577,156",R$ 2.30 milhões,R$ 4.75 milhões,44.951,R$ 132.25  milhões,2024-2026,Março/2026,19,R$ 29.14  milhões,R$ 20.72  milhões,16,R$ 66.57  milhões,3,R$ 33.97  milhões,10,R$ 4.98  milhões,0,R$ 20.70  milhões,R$ 20.70  milhões,4,R$ 50.00 milhões,R$ 24.76 milhões,R$ 74.76 milhões,Não se aplica,R$ 1.63 bilhões,R$ 1.83 bilhões,R$ 1.94 bilhões,R$ 479.35 milhões,R$ 0,R$ 6.93 milhões,R$ 8.98 milhões,785,R$ 53.92 milhões,2023-2025,Dezembro/25,19.776,R$ 11.23 milhões,2023-2025,Dezembro/25,"7,5 mil",1,6,1,5,12.710
