uf,escolas_conectadas_nivel_4_5,territorio,titulo,eti_matriculas_fomentadas,eti_valor_fomentado,novo_pac_ept_expansao,sigla_uf,escola_conectada_qtd_escolas_4e5,escola_conectada_pct_escolas_4e5,escola_eti_qtd_matricula,escola_eti_valor_fomento,cnca_cantinho_leitura,cnca_escolas_apoiadas,cnca_valor_cantinhos,cnca_qtd_articuladores_total,cnca_articuladores_renalpha_2025,cnca_valor_materiais,cnca_valor_formacao,cnca_total_investido,pdm_estudantes_beneficiados,pdm_valor_investido,pdm_abrangencia,pdm_referencia,obras_total_aprovadas,obras_valor_previsto,obras_valor_repassado,novo_pac_creches,novo_pac_creches_valor_previsto,novo_pac_eti,novo_pac_eti_valor_previsto,novo_pac_onibus,novo_pac_onibus_valor_previsto,novo_pac_superior_consolidacao,novo_pac_superior_expansao,novo_pac_superior_total_previsto,novo_pac_ept_expansao_1,novo_pac_ept_consolidacao,novo_pac_ept_total_previsto,novopac_ept_expansao_qtd,novo_pac_hu_valor_previsto,fundeb_2023,fundeb_2024,fundeb_2025,fundeb_2026,fundeb_valor_repassado_VAAF,fundeb_valor_repassado_VAAT,fundeb_valor_repassado_VAAR,pnae_escolas_apoiadas,pnae_valor_investido,pnae_abrangencia,pnae_referencia,pnate_estudantes_beneficiados,pnate_valor_investido,pnate_abrangencia,pnate_referencia,if_matriculas,if_numero,if_campi,uf_instituicoes,uf_campi,uf_matriculas_graduacao,nome
GO,"2.909 (81,3 %)",GOIÁS,BRIEFING – Visita Ministerial - GOIÁS,522.534,"R$ 1,59  bilhões","R$ 75,00 milhões - 3 campi ",GO,2.909,"81,3 %",522.534,"R$ 1,59  bilhões",4.868,1.513,"R$ 6,01 milhões",364,"R$ 12,66 milhões","R$ 8,89 milhões","R$ 16,55 milhões","R$ 44,11 milhões","218,164","R$ 582,90  milhões",2024-2026,Março/2026,73,"R$ 72,57  milhões","R$ 44,52  milhões",107,"R$ 441,12  milhões",18,"R$ 176,99  milhões",41,"R$ 20,63  milhões","R$ 82,46 milhões","R$ 60,00 milhões - 1 Campus","R$ 142,46 milhões","R$ 75,00 milhões","R$ 70,10 milhões","R$ 145,10 milhões",3,Não se aplica,"R$ 8,42 bilhões","R$ 9,71 bilhões","R$ 10,28 bilhões","R$ 2,56 bilhões",R$ 0,"R$ 51,68 milhões","R$ 123,34 milhões",3.762,"R$ 648,09 milhões",2023-2025,Dezembro/25,65.793,"R$ 36,34 milhões",2023-2025,Dezembro/25,"45,7 mil",2,26,3,9,35.630,GOIÁS
DF,"446 (61,8 %)",DISTRITO FEDERAL,BRIEFING – Visita Ministerial - DISTRITO FEDERAL,73.410,"R$ 205,10  milhões","R$ 50,00 milhões - 2 campi ",DF,446,"61,8 %",73.410,"R$ 205,10  milhões",957,189,"R$ 1,18 milhões",30,"R$ 1,33 milhões","R$ 2,46 milhões","R$ 98,243","R$ 5,07 milhões","77,948","R$ 200,42  milhões",2024-2026,Março/2026,,,,5,"R$ 21,59  milhões",1,"R$ 11,09  milhões",0,0,"R$ 58,90 milhões","R$ 0,00 milhões - 0 Campus","R$ 58,90 milhões","R$ 50,00 milhões","R$ 22,83 milhões","R$ 72,83 milhões",2,Não se aplica,"R$ 2,82 bilhões","R$ 3,22 bilhões","R$ 3,40 bilhões","R$ 834,84 milhões",R$ 0,R$ 0,R$ 0,803,"R$ 216,66 milhões",2023-2025,Dezembro/25,16.594,"R$ 5,56 milhões",2023-2025,Dezembro/25,"22,8 mil",1,10,1,4,43.687,DISTRITO FEDERAL
RJ,"4.842 (70,1 %)",RIO DE JANEIRO,BRIEFING – Visita Ministerial - RIO DE JANEIRO,1.057.115,"R$ 3,21  bilhões","R$ 175,00 milhões - 7 campi ",RJ,4.842,"70,1 %",1.057.115,"R$ 3,21  bilhões",10.390,3.210,"R$ 12,83 milhões",136,"R$ 4,81 milhões","R$ 11,25 milhões","R$ 13,79 milhões","R$ 42,68 milhões","487,497","R$ 1,35  bilhões",2024-2026,Março/2026,19,"R$ 26,76  milhões","R$ 9,51  milhões",63,"R$ 279,57  milhões",29,"R$ 313,42  milhões",42,"R$ 21,55  milhões","R$ 143,91 milhões","R$ 0,00 milhões - 0 Campus","R$ 143,91 milhões","R$ 175,00 milhões","R$ 61,49 milhões","R$ 236,49 milhões",7,"R$ 115,00  milhões","R$ 15,95 bilhões","R$ 16,36 bilhões","R$ 16,92 bilhões","R$ 4,62 bilhões","R$ -38,278,560","R$ 29,24 milhões","R$ 12,84 milhões",7.382,"R$ 1,29 bilhões",2023-2025,Dezembro/25,74.698,"R$ 32,26 milhões",2023-2025,Dezembro/25,"43,5 mil",2,27,4,25,148.139,RIO DE JANEIRO
SP,"12.366 (64,5 %)",SÃO PAULO,BRIEFING – Visita Ministerial - SÃO PAULO,281.930,"R$ 870,43  milhões","R$ 340,00 milhões - 14 campi ",SP,12.366,"64,5 %",281.930,"R$ 870,43  milhões",24.288,5.119,"R$ 30,00 milhões",909,"R$ 31,07 milhões","R$ 44,09 milhões","R$ 60,74 milhões","R$ 165,89 milhões","981,386","R$ 2,47  bilhões",2024-2026,Março/2026,43,"R$ 61,67  milhões","R$ 36,64  milhões",94,"R$ 445,03  milhões",41,"R$ 410,05  milhões",28,"R$ 14,03  milhões","R$ 272,31 milhões","R$ 60,00 milhões - 1 Campus","R$ 332,31 milhões","R$ 340,00 milhões","R$ 150,20 milhões","R$ 490,20 milhões",14,"R$ 281,50  milhões","R$ 51,98 bilhões","R$ 59,17 bilhões","R$ 62,34 bilhões","R$ 15,04 bilhões",R$ 0,"R$ 28,82 milhões","R$ 52,17 milhões",22.485,"R$ 4,47 bilhões",2023-2025,Dezembro/25,227.791,"R$ 109,20 milhões",2023-2025,Dezembro/25,"67,9 mil",1,41,3,14,61.387,SÃO PAULO
RS,"5.993 (82,9 %)",RIO GRANDE DO SUL,BRIEFING – Visita Ministerial - RIO GRANDE DO SUL,659.831,"R$ 1,97  bilhões","R$ 180,00 milhões - 8 campi ",RS,5.993,"82,9 %",659.831,"R$ 1,97  bilhões",8.821,3.913,"R$ 10,89 milhões",586,"R$ 19,50 milhões","R$ 16,35 milhões","R$ 38,09 milhões","R$ 84,84 milhões","216,158","R$ 518,88  milhões",2024-2026,Março/2026,73,"R$ 104,93  milhões","R$ 68,86  milhões",72,"R$ 301,34  milhões",12,"R$ 134,99  milhões",120,"R$ 54,44  milhões","R$ 150,94 milhões","R$ 60,00 milhões - 1 Campus","R$ 210,94 milhões","R$ 180,00 milhões","R$ 95,29 milhões","R$ 275,29 milhões",8,"R$ 364,28  milhões","R$ 13,64 bilhões","R$ 15,65 bilhões","R$ 16,16 bilhões","R$ 4,02 bilhões",R$ 0,"R$ 1,96 milhões","R$ 37,07 milhões",7.887,"R$ 991,70 milhões",2023-2025,Dezembro/25,180.696,"R$ 103,49 milhões",2023-2025,Dezembro/25,"836,7 mil",3,42,7,30,99.199,RIO GRANDE DO SUL
MS,"1.092 (79,3 %)",MATO GROSSO DO SUL,BRIEFING – Visita Ministerial - MATO GROSSO DO SUL,218.889,"R$ 654,51  milhões","R$ 50,00 milhões - 2 campi ",MS,1.092,"79,3 %",218.889,"R$ 654,51  milhões",2.054,573,"R$ 2,54 milhões",117,"R$ 4,10 milhões","R$ 3,86 milhões","R$ 7,50 milhões","R$ 18,00 milhões","82,007","R$ 220,06  milhões",2024-2026,Março/2026,22,"R$ 33,42  milhões","R$ 17,45  milhões",33,"R$ 151,16  milhões",16,"R$ 161,92  milhões",39,"R$ 18,15  milhões","R$ 40,44 milhões","R$ 0,00 milhões - 0 Campus","R$ 40,44 milhões","R$ 50,00 milhões","R$ 38,36 milhões","R$ 88,36 milhões",2,"R$ 65,51  milhões","R$ 4,49 bilhões","R$ 4,97 bilhões","R$ 5,30 bilhões","R$ 1,24 bilhões",R$ 0,"R$ 3,69 milhões","R$ 7,93 milhões",1.493,"R$ 317,30 milhões",2023-2025,Dezembro/25,56.613,"R$ 30,27 milhões",2023-2025,Dezembro/25,"82,7 mil",1,10,2,11,35.162,MATO GROSSO DO SUL
MT,"1.716 (76,7 %)",MATO GROSSO,BRIEFING – Visita Ministerial - MATO GROSSO,205.885,"R$ 619,14  milhões","R$ 75,00 milhões - 3 campi ",MT,1.716,"76,7 %",205.885,"R$ 619,14  milhões",2.578,878,"R$ 3,18 milhões",184,"R$ 6,32 milhões","R$ 5,34 milhões","R$ 18,02 milhões","R$ 32,86 milhões","118,366","R$ 302,91  milhões",2024-2026,Março/2026,38,"R$ 36,11  milhões","R$ 21,02  milhões",46,"R$ 220,77  milhões",12,"R$ 133,88  milhões",43,"R$ 20,38  milhões","R$ 30,95 milhões","R$ 69,00 milhões - 1 Campus","R$ 99,95 milhões","R$ 75,00 milhões","R$ 42,51 milhões","R$ 117,51 milhões",3,Não se aplica,"R$ 6,15 bilhões","R$ 6,68 bilhões","R$ 7,67 bilhões","R$ 1,82 bilhões",R$ 0,"R$ 4,62 milhões","R$ 29,23 milhões",2.316,"R$ 412,67 milhões",2023-2025,Dezembro/25,78.934,"R$ 43,93 milhões",2023-2025,Dezembro/25,"29,6 mil",1,19,2,6,27.866,MATO GROSSO
PA,"6.370 (66,1 %)",PARÁ,BRIEFING – Visita Ministerial - PARÁ,683.028,"R$ 2,23  bilhões","R$ 125,00 milhões - 5 campi ",PA,6.370,"66,1 %",683.028,"R$ 2,23  bilhões",8.181,5.072,"R$ 10,10 milhões",260,"R$ 9,29 milhões","R$ 13,31 milhões","R$ 12,90 milhões","R$ 45,60 milhões","480,118","R$ 1,49  bilhões",2024-2026,Março/2026,344,"R$ 390,70  milhões","R$ 227,65  milhões",95,"R$ 396,43  milhões",39,"R$ 395,47  milhões",167,"R$ 83,36  milhões","R$ 133,79 milhões","R$ 35,00 milhões - 1 Campus","R$ 168,79 milhões","R$ 125,00 milhões","R$ 54,43 milhões","R$ 179,43 milhões",5,"R$ 52,00  milhões","R$ 14,15 bilhões","R$ 16,22 bilhões","R$ 18,52 bilhões","R$ 4,59 bilhões","R$ 1,34 bilhões","R$ 1,02 bilhões","R$ 147,20 milhões",9.669,"R$ 932,04 milhões",2023-2025,Dezembro/25,452.273,"R$ 320,88 milhões",2023-2025,Dezembro/25,"27,0 mil",1,18,4,31,63.563,PARÁ
PR,"6.347 (85,7 %)",PARANÁ,BRIEFING – Visita Ministerial - PARANÁ,924.547,"R$ 2,90  bilhões","R$ 140,00 milhões - 6 campi ",PR,6.347,"85,7 %",924.547,"R$ 2,90  bilhões",9.318,3.247,"R$ 11,51 milhões",497,"R$ 16,71 milhões","R$ 13,15 milhões","R$ 21,81 milhões","R$ 63,17 milhões","258,586","R$ 672,65  milhões",2024-2026,Março/2026,49,"R$ 89,43  milhões","R$ 54,53  milhões",85,"R$ 399,62  milhões",15,"R$ 163,23  milhões",55,"R$ 25,85  milhões","R$ 865,50 milhões","R$ 0,00 milhões - 0 Campus","R$ 865,50 milhões","R$ 140,00 milhões","R$ 40,05 milhões","R$ 180,05 milhões",6,Não se aplica,"R$ 14,31 bilhões","R$ 16,18 bilhões","R$ 17,52 bilhões","R$ 4,47 bilhões",R$ 0,"R$ 17,11 milhões","R$ 190,92 milhões",7.999,"R$ 1,13 bilhões",2023-2025,Dezembro/25,191.562,"R$ 105,41 milhões",2023-2025,Dezembro/25,"30,6 mil",1,26,4,28,67.434,PARANÁ
SC,"4.111 (78,8 %)",SANTA CATARINA,BRIEFING – Visita Ministerial - SANTA CATARINA,511.328,"R$ 1,58  bilhões","R$ 75,00 milhões - 3 campi ",SC,4.111,"78,8 %",511.328,"R$ 1,58  bilhões",5.401,2.143,"R$ 6,67 milhões",405,"R$ 13,98 milhões","R$ 8,94 milhões","R$ 13,55 milhões","R$ 43,14 milhões","113,874","R$ 286,18  milhões",2024-2026,Março/2026,18,"R$ 39,58  milhões","R$ 22,05  milhões",25,"R$ 120,07  milhões",24,"R$ 260,41  milhões",40,"R$ 19,82  milhões","R$ 61,50 milhões","R$ 0,00 milhões - 0 Campus","R$ 61,50 milhões","R$ 75,00 milhões","R$ 54,46 milhões","R$ 129,46 milhões",3,"R$ 10,00  milhões","R$ 10,21 bilhões","R$ 11,84 bilhões","R$ 12,71 bilhões","R$ 3,02 bilhões",R$ 0,"R$ 10,41 milhões","R$ 29,08 milhões",5.419,"R$ 778,89 milhões",2023-2025,Dezembro/25,133.497,"R$ 69,99 milhões",2023-2025,Dezembro/25,"59,1 mil",2,37,2,6,40.736,SANTA CATARINA
