uf,territorio,titulo,escolas_conectadas_nivel_4_5,eti_matriculas_fomentadas,eti_valor_fomentado,cnca_cantinho_leitura,cnca_escolas_apoiadas,cnca_valor_cantinhos,cnca_qtd_articuladores_total,cnca_articuladores_renalpha_2026,cnca_valor_materiais,cnca_valor_formacao,cnca_total_investido,pdm_estudantes_beneficiados,pdm_valor_investido,pdm_abrangencia,pdm_referencia,obras_total_aprovadas,obras_valor_previsto,obras_valor_repassado,novo_pac_creches,novo_pac_creches_valor_previsto,novo_pac_eti,novo_pac_eti_valor_previsto,novo_pac_onibus,novo_pac_onibus_valor_previsto,novo_pac_superior_consolidacao,novo_pac_superior_expansao,novo_pac_superior_total_previsto,lista_obras_sesu_dinamica,novo_pac_ept_consolidacao,novo_pac_ept_expansao,novo_pac_ept_total_previsto,lista_obras_setec_dinamica,lista_expansao_setec_dinamica,novo_pac_hu_valor_previsto,lista_obras_hu_dinamica,fundeb_2023,fundeb_2024,fundeb_2025,fundeb_2026,fundeb_valor_repassado_VAAF,fundeb_valor_repassado_VAAT,fundeb_valor_repassado_VAAR,pnae_escolas_apoiadas,pnae_valor_investido,pnate_estudantes_beneficiados,pnate_valor_investido,if_matriculas,if_numero,if_campi,uf_campi,uf_instituicoes,uf_matriculas_graduacao,eti_serie_historica_alunos,distorcao_idade_serie,ica_alfabetizacao
AC,ACRE,BRIEFING – Visita Ministerial - ACRE,"848 (57,1% ) | Brasil: 72,3%",12.676 | Brasil: 1.632.740,"R$ 60,73 milhões | Brasil: R$ 7,23 bilhões",1.190,681,"R$ 1,47 milhões",39,"R$ 1,54 milhões","R$ 1,67 milhões","R$ 3,05 milhões","R$ 7,73 milhões | Brasil: R$ 1,56 bilhão",46.636 | Brasil: 7.075.845,"R$ 139,65 milhões | Brasil: R$ 20,29 bilhões",2024-2026,Março/2026,27 | Brasil: 2524,"R$ 38,88 milhões | Brasil: R$ 3,12 bilhões","R$ 20,10 milhões | Brasil: R$ 1,73 bilhões",7 | Brasil: 1681,"R$ 31,75 milhões | Brasil: R$ 7,26 bilhões",10 | Brasil: 683,"R$ 116,93 milhões | Brasil: R$ 6,94 bilhões",33 | Brasil: 2477,"R$ 17,05 milhões | Brasil: R$ 1,20 bilhões","R$ 40,00 milhões | Brasil: R$ 3,41 bilhões","R$ 0,00 milhões | Brasil: R$ 660,00 milhões","R$ 40,00 milhões | Brasil: R$ 4,07 bilhões","1 Biblioteca - R$ 3,00 milhões | 1 Estruturas Acadêmicas - R$ 5,00 milhões | 1 Infraestrutura e Urbanização - R$ 15,00 milhões | 1 Laboratórios - R$ 4,00 milhões | 1 Restaurante Universitário - R$ 5,00 milhões | 1 Salas de Aula - R$ 8,00 milhões","R$ 8,58 milhões | Brasil: R$ 1,52 bilhões","R$ 25,00 milhões | Brasil: R$ 2,70 bilhões - 1 campus","R$ 33,58 milhões | Brasil: R$ 4,22 bilhões","2 Restaurante Estudantil - R$ 3,40 milhões | 1 Biblioteca - R$ 1,00 milhões | 1 Sede Reitoria - R$ 1,28 milhões | 1 Estruturas Acadêmicas - R$ 0,99 milhões | 1 Equipamento - R$ 1,92 milhões",Feijó,"R$ 50,00 milhões | Brasil: R$ 1,79 bilhões","Reforma de hospital estadual a ser cedido à universidade. - R$ 50,00 milhões","R$ 1,83 bilhões | Brasil: R$ 269,16 bilhões","R$ 2,15 bilhões | Brasil: R$ 310,34 bilhões","R$ 2,36 bilhões | Brasil: R$ 339,79 bilhões","R$ 0,52 bilhões | Brasil: R$ 78,36 bilhões","R$ 0,00 milhões | Brasil: R$ 6,95 bilhões","R$ 33,09 milhões | Brasil: R$ 7,25 bilhões","R$ 2,13 milhões | Brasil: R$ 1,53 bilhões",1.475 | Brasil: 145.708,"R$ 93,15 milhões | Brasil: R$ 17,76 bilhões",62.883 | Brasil: 4.782.680,"R$ 35,46 milhões | Brasil: R$ 2,96 bilhões","6,8 mil | Brasil: 1.884.660",1 | Brasil: 38,6 | Brasil: 605,2 | Brasil: 338,1 | Brasil: 69,8.524 | Brasil: 1.075.373,"9,88% em 2023 para 16,27% em 2025 (21.361 → 33.976 matrículas) | Brasil: 20,86% em 2023 para 25,82% em 2025 (7.308.315 → 8.830.779 matrículas)","Ensino Médio: caiu de 28,0% em 2023 para 24,7% em 2025 | Brasil: caiu de 21,6% em 2023 para 17,6% em 2025",
AL,ALAGOAS,BRIEFING – Visita Ministerial - ALAGOAS,"1.773 (74,1% ) | Brasil: 72,3%",32.894 | Brasil: 1.632.740,"R$ 152,17 milhões | Brasil: R$ 7,23 bilhões",3.120,1.537,"R$ 3,85 milhões",143,"R$ 5,25 milhões","R$ 3,74 milhões","R$ 7,47 milhões","R$ 20,32 milhões | Brasil: R$ 1,56 bilhão",169.661 | Brasil: 7.075.845,"R$ 521,19 milhões | Brasil: R$ 20,29 bilhões",2024-2026,Março/2026,32 | Brasil: 2524,"R$ 23,83 milhões | Brasil: R$ 3,12 bilhões","R$ 12,00 milhões | Brasil: R$ 1,73 bilhões",65 | Brasil: 1681,"R$ 277,81 milhões | Brasil: R$ 7,26 bilhões",16 | Brasil: 683,"R$ 160,68 milhões | Brasil: R$ 6,94 bilhões",94 | Brasil: 2477,"R$ 47,50 milhões | Brasil: R$ 1,20 bilhões","R$ 25,00 milhões | Brasil: R$ 3,41 bilhões","R$ 0,00 milhões | Brasil: R$ 660,00 milhões","R$ 25,00 milhões | Brasil: R$ 4,07 bilhões","2 Estruturas Acadêmicas - R$ 16,00 milhões | 1 Restaurante Universitário - R$ 4,00 milhões | 1 Salas de Aula - R$ 5,00 milhões","R$ 61,17 milhões | Brasil: R$ 1,52 bilhões","R$ 75,00 milhões | Brasil: R$ 2,70 bilhões - 3 campi","R$ 136,17 milhões | Brasil: R$ 4,22 bilhões","3 Sede de Campus - R$ 42,18 milhões | 1 Sede de Campus AX - R$ 1,56 milhões | 4 Complexo Esportivo - R$ 5,63 milhões | 5 Equipamento - R$ 6,58 milhões | 3 Restaurante Estudantil - R$ 5,22 milhões",Mata Grande | Maceió | Girau do Ponciano,"R$ 9,31 milhões | Brasil: R$ 1,79 bilhões","Reforma para reestruturação elétrica, construção do almoxarifado e abrigo de resíduos. Atualização da Comunicação Visual. - R$ 9,31 milhões","R$ 5,37 bilhões | Brasil: R$ 269,16 bilhões","R$ 6,31 bilhões | Brasil: R$ 310,34 bilhões","R$ 7,54 bilhões | Brasil: R$ 339,79 bilhões","R$ 1,80 bilhões | Brasil: R$ 78,36 bilhões","R$ 221,66 milhões | Brasil: R$ 6,95 bilhões","R$ 403,60 milhões | Brasil: R$ 7,25 bilhões","R$ 66,74 milhões | Brasil: R$ 1,53 bilhões",2.380 | Brasil: 145.708,"R$ 347,36 milhões | Brasil: R$ 17,76 bilhões",175.188 | Brasil: 4.782.680,"R$ 77,46 milhões | Brasil: R$ 2,96 bilhões","20,2 mil | Brasil: 1.884.660",1 | Brasil: 38,16 | Brasil: 605,4 | Brasil: 338,1 | Brasil: 69,23.894 | Brasil: 1.075.373,"24,58% em 2023 para 32,99% em 2025 (145.433 → 196.708 matrículas) | Brasil: 20,86% em 2023 para 25,82% em 2025 (7.308.315 → 8.830.779 matrículas)","Ensino Médio: caiu de 26,1% em 2023 para 21,6% em 2025 | Brasil: caiu de 21,6% em 2023 para 17,6% em 2025","De 43,88% em 2023 para 64% em 2025 | Brasil: De 55,90% em 2023 para 66% em 2025"
AM,AMAZONAS,BRIEFING – Visita Ministerial - AMAZONAS,"3.028 (58,7% ) | Brasil: 72,3%",44.541 | Brasil: 1.632.740,"R$ 274,85 milhões | Brasil: R$ 7,23 bilhões",4.219,2.055,"R$ 5,21 milhões",91,"R$ 3,34 milhões","R$ 4,95 milhões","R$ 37,19 milhões","R$ 50,70 milhões | Brasil: R$ 1,56 bilhão",248.834 | Brasil: 7.075.845,"R$ 731,22 milhões | Brasil: R$ 20,29 bilhões",2024-2026,Março/2026,122 | Brasil: 2524,"R$ 196,51 milhões | Brasil: R$ 3,12 bilhões","R$ 90,96 milhões | Brasil: R$ 1,73 bilhões",44 | Brasil: 1681,"R$ 183,43 milhões | Brasil: R$ 7,26 bilhões",17 | Brasil: 683,"R$ 181,18 milhões | Brasil: R$ 6,94 bilhões",58 | Brasil: 2477,"R$ 28,45 milhões | Brasil: R$ 1,20 bilhões","R$ 46,50 milhões | Brasil: R$ 3,41 bilhões","R$ 60,00 milhões - 1 Campus (São Gabriel da Cachoeira) | Brasil: R$ 660,00 milhões","R$ 106,50 milhões | Brasil: R$ 4,07 bilhões","4 Estruturas Acadêmicas - R$ 40,30 milhões | 2 Restaurante Universitário - R$ 6,20 milhões","R$ 61,03 milhões | Brasil: R$ 1,52 bilhões","R$ 50,00 milhões | Brasil: R$ 2,70 bilhões - 2 campi","R$ 111,03 milhões | Brasil: R$ 4,22 bilhões","5 Sede de Campus - R$ 53,42 milhões | 6 Restaurante Estudantil - R$ 5,23 milhões | 1 Infraestrutura - R$ 0,47 milhões | 1 Equipamento - R$ 1,90 milhões",Santo Antônio do Içá | Manicoré,,,"R$ 6,76 bilhões | Brasil: R$ 269,16 bilhões","R$ 8,38 bilhões | Brasil: R$ 310,34 bilhões","R$ 9,10 bilhões | Brasil: R$ 339,79 bilhões","R$ 1,99 bilhões | Brasil: R$ 78,36 bilhões","R$ 376,91 milhões | Brasil: R$ 6,95 bilhões","R$ 374,96 milhões | Brasil: R$ 7,25 bilhões","R$ 72,77 milhões | Brasil: R$ 1,53 bilhões",5.150 | Brasil: 145.708,"R$ 449,07 milhões | Brasil: R$ 17,76 bilhões",119.526 | Brasil: 4.782.680,"R$ 114,93 milhões | Brasil: R$ 2,96 bilhões","24,1 mil | Brasil: 1.884.660",1 | Brasil: 38,17 | Brasil: 605,7 | Brasil: 338,1 | Brasil: 69,21.034 | Brasil: 1.075.373,"9,71% em 2023 para 13,18% em 2025 (94.592 → 127.552 matrículas) | Brasil: 20,86% em 2023 para 25,82% em 2025 (7.308.315 → 8.830.779 matrículas)","Ensino Médio: caiu de 29,4% em 2023 para 26,5% em 2025 | Brasil: caiu de 21,6% em 2023 para 17,6% em 2025","De 52,20% em 2023 para 57% em 2025 | Brasil: De 55,90% em 2023 para 66% em 2025"
AP,AMAPÁ,BRIEFING – Visita Ministerial - AMAPÁ,"248 (31,6% ) | Brasil: 72,3%",10.595 | Brasil: 1.632.740,"R$ 34,23 milhões | Brasil: R$ 7,23 bilhões",443,162,"R$ 0,55 milhões",35,"R$ 1,40 milhões","R$ 0,58 milhões","R$ 2,30 milhões","R$ 4,82 milhões | Brasil: R$ 1,56 bilhão",44.951 | Brasil: 7.075.845,"R$ 132,25 milhões | Brasil: R$ 20,29 bilhões",2024-2026,Março/2026,19 | Brasil: 2524,"R$ 29,14 milhões | Brasil: R$ 3,12 bilhões","R$ 20,72 milhões | Brasil: R$ 1,73 bilhões",16 | Brasil: 1681,"R$ 66,57 milhões | Brasil: R$ 7,26 bilhões",3 | Brasil: 683,"R$ 33,97 milhões | Brasil: R$ 6,94 bilhões",10 | Brasil: 2477,"R$ 4,98 milhões | Brasil: R$ 1,20 bilhões","R$ 20,70 milhões | Brasil: R$ 3,41 bilhões","R$ 0,00 milhões | Brasil: R$ 660,00 milhões","R$ 20,70 milhões | Brasil: R$ 4,07 bilhões","6 Salas de Aula - R$ 17,90 milhões | 1 Estruturas Acadêmicas - R$ 2,80 milhões","R$ 24,76 milhões | Brasil: R$ 1,52 bilhões","R$ 44,72 milhões | Brasil: R$ 2,70 bilhões - 2 campi","R$ 69,48 milhões | Brasil: R$ 4,22 bilhões","3 Restaurante Estudantil - R$ 5,10 milhões | 2 Biblioteca - R$ 3,00 milhões | 1 Sede Reitoria - R$ 10,00 milhões | 1 Demais Obras - R$ 1,75 milhões | 1 Equipamento - R$ 3,27 milhões | 3 Equipamento Restaurante - R$ 1,65 milhões",Tartarugalzinho | Macapá,,,"R$ 1,63 bilhões | Brasil: R$ 269,16 bilhões","R$ 1,83 bilhões | Brasil: R$ 310,34 bilhões","R$ 1,94 bilhões | Brasil: R$ 339,79 bilhões","R$ 0,43 bilhões | Brasil: R$ 78,36 bilhões","R$ 0,00 milhões | Brasil: R$ 6,95 bilhões","R$ 6,93 milhões | Brasil: R$ 7,25 bilhões","R$ 8,98 milhões | Brasil: R$ 1,53 bilhões",785 | Brasil: 145.708,"R$ 46,08 milhões | Brasil: R$ 17,76 bilhões",18.292 | Brasil: 4.782.680,"R$ 13,08 milhões | Brasil: R$ 2,96 bilhões","7,5 mil | Brasil: 1.884.660",1 | Brasil: 38,6 | Brasil: 605,5 | Brasil: 338,1 | Brasil: 69,10.894 | Brasil: 1.075.373,"8,18% em 2023 para 10,73% em 2025 (14.322 → 18.693 matrículas) | Brasil: 20,86% em 2023 para 25,82% em 2025 (7.308.315 → 8.830.779 matrículas)","Ensino Médio: caiu de 34,9% em 2023 para 32,2% em 2025 | Brasil: caiu de 21,6% em 2023 para 17,6% em 2025","De 41,56% em 2023 para 60% em 2025 | Brasil: De 55,90% em 2023 para 66% em 2025"
BA,BAHIA,BRIEFING – Visita Ministerial - BAHIA,"9.332 (69,8% ) | Brasil: 72,3%",170.245 | Brasil: 1.632.740,"R$ 911,47 milhões | Brasil: R$ 7,23 bilhões",15.053,9.503,"R$ 18,59 milhões",501,"R$ 16,47 milhões","R$ 14,43 milhões","R$ 66,31 milhões","R$ 115,79 milhões | Brasil: R$ 1,56 bilhão",708.952 | Brasil: 7.075.845,"R$ 2,11 bilhões | Brasil: R$ 20,29 bilhões",2024-2026,Março/2026,297 | Brasil: 2524,"R$ 395,97 milhões | Brasil: R$ 3,12 bilhões","R$ 218,00 milhões | Brasil: R$ 1,73 bilhões",134 | Brasil: 1681,"R$ 597,05 milhões | Brasil: R$ 7,26 bilhões",62 | Brasil: 683,"R$ 629,15 milhões | Brasil: R$ 6,94 bilhões",342 | Brasil: 2477,"R$ 162,75 milhões | Brasil: R$ 1,20 bilhões","R$ 252,95 milhões | Brasil: R$ 3,41 bilhões","R$ 60,00 milhões - 1 Campus (Jequié) | Brasil: R$ 660,00 milhões","R$ 312,95 milhões | Brasil: R$ 4,07 bilhões","18 Estruturas Acadêmicas - R$ 163,32 milhões | 6 Salas de Aula - R$ 39,69 milhões | 5 Infraestrutura e Urbanização - R$ 8,42 milhões | 4 Laboratórios - R$ 27,91 milhões | 1 Complexo Esportivo - R$ 2,00 milhões | 4 Restaurante Universitário - R$ 6,60 milhões | 1 Biblioteca - R$ 5,00 milhões","R$ 51,51 milhões | Brasil: R$ 1,52 bilhões","R$ 200,00 milhões | Brasil: R$ 2,70 bilhões - 8 campi","R$ 251,51 milhões | Brasil: R$ 4,22 bilhões","11 Restaurante Estudantil - R$ 18,70 milhões | 4 Biblioteca - R$ 6,00 milhões | 2 Infraestrutura - R$ 3,54 milhões | 2 Estruturas Acadêmicas - R$ 16,27 milhões | 3 Equipamento - R$ 4,80 milhões | 4 Equipamento Restaurante - R$ 2,20 milhões",Santo Estêvão | Ribeira do Pombal | Macaúbas | Poções | Salvador | Ruy Barbosa | Remanso | Itabuna,"R$ 34,60 milhões | Brasil: R$ 1,79 bilhões","Reforma para recuperação estrutural, Fachada e Cobertura, Almoxarifado e anatomia patológica - R$ 34,60 milhões","R$ 20,25 bilhões | Brasil: R$ 269,16 bilhões","R$ 24,38 bilhões | Brasil: R$ 310,34 bilhões","R$ 27,71 bilhões | Brasil: R$ 339,79 bilhões","R$ 6,71 bilhões | Brasil: R$ 78,36 bilhões","R$ 1,50 bilhões | Brasil: R$ 6,95 bilhões","R$ 1,41 bilhões | Brasil: R$ 7,25 bilhões","R$ 104,73 milhões | Brasil: R$ 1,53 bilhões",13.660 | Brasil: 145.708,"R$ 1,24 bilhões | Brasil: R$ 17,76 bilhões",700.205 | Brasil: 4.782.680,"R$ 414,77 milhões | Brasil: R$ 2,96 bilhões","51,9 mil | Brasil: 1.884.660",2 | Brasil: 38,38 | Brasil: 605,23 | Brasil: 338,4 | Brasil: 69,45.090 | Brasil: 1.075.373,"20,10% em 2023 para 31,74% em 2025 (491.192 → 743.710 matrículas) | Brasil: 20,86% em 2023 para 25,82% em 2025 (7.308.315 → 8.830.779 matrículas)","Ensino Médio: caiu de 35,7% em 2023 para 24,0% em 2025 | Brasil: caiu de 21,6% em 2023 para 17,6% em 2025","De 36,80% em 2023 para 55% em 2025 | Brasil: De 55,90% em 2023 para 66% em 2025"
CE,CEARÁ,BRIEFING – Visita Ministerial - CEARÁ,"4.033 (67,5% ) | Brasil: 72,3%",58.266 | Brasil: 1.632.740,"R$ 338,91 milhões | Brasil: R$ 7,23 bilhões",8.583,4.333,"R$ 10,60 milhões",250,"R$ 8,96 milhões","R$ 19,95 milhões","R$ 25,67 milhões","R$ 65,18 milhões | Brasil: R$ 1,56 bilhão",483.207 | Brasil: 7.075.845,"R$ 1,52 bilhões | Brasil: R$ 20,29 bilhões",2024-2026,Março/2026,203 | Brasil: 2524,"R$ 302,27 milhões | Brasil: R$ 3,12 bilhões","R$ 187,24 milhões | Brasil: R$ 1,73 bilhões",115 | Brasil: 1681,"R$ 496,48 milhões | Brasil: R$ 7,26 bilhões",59 | Brasil: 683,"R$ 613,61 milhões | Brasil: R$ 6,94 bilhões",213 | Brasil: 2477,"R$ 101,35 milhões | Brasil: R$ 1,20 bilhões","R$ 314,64 milhões | Brasil: R$ 3,41 bilhões","R$ 60,00 milhões - 1 Campus (Baturité) | Brasil: R$ 660,00 milhões","R$ 374,64 milhões | Brasil: R$ 4,07 bilhões","12 Estruturas Acadêmicas - R$ 172,20 milhões | 3 Complexo Esportivo - R$ 9,00 milhões | 3 Biblioteca - R$ 14,26 milhões | 1 Restaurante Universitário - R$ 3,50 milhões | 1 Laboratórios - R$ 4,53 milhões | 3 Moradia Estudantil - R$ 7,17 milhões | 5 Infraestrutura e Urbanização - R$ 23,98 milhões | 1 Hospital Universitário - R$ 80,00 milhões","R$ 53,58 milhões | Brasil: R$ 1,52 bilhões","R$ 150,00 milhões | Brasil: R$ 2,70 bilhões - 6 campi","R$ 203,58 milhões | Brasil: R$ 4,22 bilhões","21 Restaurante Estudantil - R$ 32,77 milhões | 3 Biblioteca - R$ 4,50 milhões | 2 Estruturas Acadêmicas - R$ 1,14 milhões | 1 Laboratórios - R$ 0,67 milhões | 1 Equipamento - R$ 7,89 milhões | 12 Equipamento Restaurante - R$ 6,60 milhões",Campos Sales | Lavras da Mangabeira | Fortaleza | Cascavel | Mauriti,"R$ 227,55 milhões | Brasil: R$ 1,79 bilhões","Construção do Hospital Universitário da Universidade Federal do Cariri - R$ 208,56 milhões | Segunda etapa da Unidade Neonatal - MEAC - R$ 18,99 milhões","R$ 12,82 bilhões | Brasil: R$ 269,16 bilhões","R$ 15,80 bilhões | Brasil: R$ 310,34 bilhões","R$ 18,58 bilhões | Brasil: R$ 339,79 bilhões","R$ 4,78 bilhões | Brasil: R$ 78,36 bilhões","R$ 1,31 bilhões | Brasil: R$ 6,95 bilhões","R$ 1,06 bilhões | Brasil: R$ 7,25 bilhões","R$ 102,04 milhões | Brasil: R$ 1,53 bilhões",6.159 | Brasil: 145.708,"R$ 1,07 bilhões | Brasil: R$ 17,76 bilhões",366.134 | Brasil: 4.782.680,"R$ 272,70 milhões | Brasil: R$ 2,96 bilhões","57,1 mil | Brasil: 1.884.660",1 | Brasil: 38,33 | Brasil: 605,16 | Brasil: 338,3 | Brasil: 69,37.188 | Brasil: 1.075.373,"44,69% em 2023 para 53,14% em 2025 (706.054 → 827.455 matrículas) | Brasil: 20,86% em 2023 para 25,82% em 2025 (7.308.315 → 8.830.779 matrículas)","Ensino Médio: caiu de 15,2% em 2023 para 11,8% em 2025 | Brasil: caiu de 21,6% em 2023 para 17,6% em 2025","De 84,50% em 2023 para 84% em 2025 | Brasil: De 55,90% em 2023 para 66% em 2025"
DF,DISTRITO FEDERAL,BRIEFING – Visita Ministerial - DISTRITO FEDERAL,"446 (61,8% ) | Brasil: 72,3%",14.341 | Brasil: 1.632.740,"R$ 37,13 milhões | Brasil: R$ 7,23 bilhões",961,191,"R$ 1,19 milhões",29,"R$ 1,38 milhões","R$ 2,46 milhões","R$ 0,10 milhões","R$ 5,13 milhões | Brasil: R$ 1,56 bilhão",77.948 | Brasil: 7.075.845,"R$ 200,42 milhões | Brasil: R$ 20,29 bilhões",2024-2026,Março/2026,,,,5 | Brasil: 1681,"R$ 21,59 milhões | Brasil: R$ 7,26 bilhões",1 | Brasil: 683,"R$ 11,09 milhões | Brasil: R$ 6,94 bilhões",0 | Brasil: 2477,"R$ 0,00 milhões | Brasil: R$ 1,20 bilhões","R$ 58,90 milhões | Brasil: R$ 3,41 bilhões","R$ 0,00 milhões | Brasil: R$ 660,00 milhões","R$ 58,90 milhões | Brasil: R$ 4,07 bilhões","1 Infraestrutura e Urbanização - R$ 47,00 milhões | 1 Estruturas Acadêmicas - R$ 11,90 milhões","R$ 22,83 milhões | Brasil: R$ 1,52 bilhões","R$ 50,00 milhões | Brasil: R$ 2,70 bilhões - 2 campi","R$ 72,83 milhões | Brasil: R$ 4,22 bilhões","9 Restaurante Estudantil - R$ 12,71 milhões | 1 Infraestrutura - R$ 5,25 milhões | 1 Estruturas Acadêmicas - R$ 0,53 milhões | 3 Equipamento - R$ 4,34 milhões",Brasília,,,"R$ 2,82 bilhões | Brasil: R$ 269,16 bilhões","R$ 3,22 bilhões | Brasil: R$ 310,34 bilhões","R$ 3,40 bilhões | Brasil: R$ 339,79 bilhões","R$ 0,64 bilhões | Brasil: R$ 78,36 bilhões","R$ 0,00 milhões | Brasil: R$ 6,95 bilhões","R$ 0,00 milhões | Brasil: R$ 7,25 bilhões","R$ 0,00 milhões | Brasil: R$ 1,53 bilhões",803 | Brasil: 145.708,"R$ 183,32 milhões | Brasil: R$ 17,76 bilhões",16.808 | Brasil: 4.782.680,"R$ 5,56 milhões | Brasil: R$ 2,96 bilhões","22,8 mil | Brasil: 1.884.660",1 | Brasil: 38,10 | Brasil: 605,4 | Brasil: 338,1 | Brasil: 69,39.509 | Brasil: 1.075.373,"6,68% em 2023 para 8,05% em 2025 (26.767 → 30.916 matrículas) | Brasil: 20,86% em 2023 para 25,82% em 2025 (7.308.315 → 8.830.779 matrículas)","Ensino Médio: caiu de 23,7% em 2023 para 20,2% em 2025 | Brasil: caiu de 21,6% em 2023 para 17,6% em 2025",
ES,ESPÍRITO SANTO,BRIEFING – Visita Ministerial - ESPÍRITO SANTO,"1.998 (75,9% ) | Brasil: 72,3%",32.415 | Brasil: 1.632.740,"R$ 150,77 milhões | Brasil: R$ 7,23 bilhões",4.053,1.446,"R$ 5,01 milhões",113,"R$ 4,12 milhões","R$ 5,32 milhões","R$ 0,62 milhões","R$ 15,06 milhões | Brasil: R$ 1,56 bilhão",113.497 | Brasil: 7.075.845,"R$ 305,84 milhões | Brasil: R$ 20,29 bilhões",2024-2026,Março/2026,6 | Brasil: 2524,"R$ 9,75 milhões | Brasil: R$ 3,12 bilhões","R$ 5,94 milhões | Brasil: R$ 1,73 bilhões",43 | Brasil: 1681,"R$ 191,25 milhões | Brasil: R$ 7,26 bilhões",20 | Brasil: 683,"R$ 198,97 milhões | Brasil: R$ 6,94 bilhões",46 | Brasil: 2477,"R$ 22,03 milhões | Brasil: R$ 1,20 bilhões","R$ 33,00 milhões | Brasil: R$ 3,41 bilhões","R$ 0,00 milhões | Brasil: R$ 660,00 milhões","R$ 33,00 milhões | Brasil: R$ 4,07 bilhões","4 Estruturas Acadêmicas - R$ 28,00 milhões | 1 Infraestrutura e Urbanização - R$ 5,00 milhões","R$ 39,98 milhões | Brasil: R$ 1,52 bilhões","R$ 25,00 milhões | Brasil: R$ 2,70 bilhões - 1 campus","R$ 64,98 milhões | Brasil: R$ 4,22 bilhões","7 Restaurante Estudantil - R$ 11,90 milhões | 2 Biblioteca - R$ 3,00 milhões | 3 Demais Obras - R$ 3,30 milhões | 2 Complexo Esportivo - R$ 1,87 milhões | 1 Sede de Campus - R$ 14,95 milhões | 1 Estruturas Acadêmicas - R$ 4,96 milhões",Muniz Freire,"R$ 30,00 milhões | Brasil: R$ 1,79 bilhões","Reforma com ampliação do Prédio Principal: PA, UTI, Banco de Sangue e Banco de Leite. - R$ 30,00 milhões","R$ 5,27 bilhões | Brasil: R$ 269,16 bilhões","R$ 6,11 bilhões | Brasil: R$ 310,34 bilhões","R$ 6,72 bilhões | Brasil: R$ 339,79 bilhões","R$ 1,41 bilhões | Brasil: R$ 78,36 bilhões","R$ 0,00 milhões | Brasil: R$ 6,95 bilhões","R$ 66,07 milhões | Brasil: R$ 7,25 bilhões","R$ 29,38 milhões | Brasil: R$ 1,53 bilhões",2.686 | Brasil: 145.708,"R$ 294,24 milhões | Brasil: R$ 17,76 bilhões",75.093 | Brasil: 4.782.680,"R$ 52,66 milhões | Brasil: R$ 2,96 bilhões","55,0 mil | Brasil: 1.884.660",1 | Brasil: 38,23 | Brasil: 605,4 | Brasil: 338,1 | Brasil: 69,22.847 | Brasil: 1.075.373,"15,18% em 2023 para 19,66% em 2025 (107.629 → 139.424 matrículas) | Brasil: 20,86% em 2023 para 25,82% em 2025 (7.308.315 → 8.830.779 matrículas)","Ensino Médio: caiu de 20,6% em 2023 para 14,8% em 2025 | Brasil: caiu de 21,6% em 2023 para 17,6% em 2025","De 67,93% em 2023 para 77% em 2025 | Brasil: De 55,90% em 2023 para 66% em 2025"
