uf,nome,creches_edital_1,creches_edital_2,qtd_creches,eti_edital_1,qtd_eti,onibus_edital_1,onibus_edital_2,qtd_onibus,indigena_valor,qtd_indigena,subtotal_edbasica_valor,sesu_expansao_valor,sesu_qtd_campus,sesu_consolidacao_valor,sesu_consolidacao_qtd,hu_valor,hu_qtd_obras,subtotal_edsuperior_valor,ept_expansao_valor,ept_qtd_campus,ept_consolidacao_valor,sesu_consolidacao_qtd_1,subtotal_ept_valor,total_novopac_valor,pdm_estudantes,escolas_conectadas_45,eti_matriculas,pacto_obras_qtd,cnca_cantinhos,cnca_articuladores,obras_expansao_lista
PR,PARANÁ,"R$ 277.980.162,74","R$ 121.644.040,77",85,"R$ 163.227.368,46",15,"R$ 21.315.327,00","R$ 4.535.264,46",55,"R$ 0,00",0,"R$ 588.702.163,43","R$ 0,00",0 campus,"R$ 865.500.000,00",21 obras em 19 campi,"R$ 0,00",0 obra(s),"R$ 865.500.000,00","R$ 140.000.000,00",6 campus,"R$ 40.050.894,26",19 obras em 15 campi,"R$ 180.050.894,26","R$ 1.634.253.057,69",261.00 mil,6.38 mil,119.73 mil,49,9.94 mil,497,SETEC - Expansão§IFPR§Araucária§Campus Araucária-x-SETEC - Expansão§IFPR§Cambé§Campus Cambé-x-SETEC - Expansão§IFPR§Cianorte§Campus Cianorte-x-SETEC - Expansão§IFPR§Maringá§Campus Maringá-x-SETEC - Expansão§IFPR§Ponta Grossa§Campus Ponta Grossa-x-SETEC - Expansão§IFPR§Toledo§Campus Toledo
RN,RIO GRANDE DO NORTE,"R$ 181.961.822,65","R$ 29.859.839,68",50,"R$ 235.341.818,21",24,"R$ 32.315.360,00","R$ 30.211.034,29",129,"R$ 0,00",0,"R$ 509.689.874,83","R$ 0,00",0 campus,"R$ 68.700.000,00",15 obras em 8 campi,"R$ 40.000.000,00",1 obra(s),"R$ 108.700.000,00","R$ 75.000.000,00",3 campus,"R$ 13.101.946,16",12 obras em 6 campi,"R$ 88.101.946,16","R$ 706.491.820,99",151.78 mil,2.25 mil,36.14 mil,81,3.23 mil,217,"HU Brasil§CME§Natal§Construção do novo bloco de Centro Cirúrgico CME, UTI Adulto, UTI Pediátrica e Hemodiálise-x-SETEC - Expansão§IFRN§São Miguel§Campus São Miguel-x-SETEC - Expansão§IFRN§Touros§Campus Touros-x-SETEC - Expansão§IFRN§Umarizal§Campus Umarizal"
GO,GOIÁS,"R$ 345.473.416,85","R$ 95.649.666,13",107,"R$ 176.985.503,91",18,"R$ 12.914.184,00","R$ 7.713.201,26",41,"R$ 0,00",0,"R$ 638.735.972,15","R$ 60.000.000,00",1 campus,"R$ 82.455.527,00",10 obras em 5 campi,"R$ 0,00",0 obra(s),"R$ 142.455.527,00","R$ 75.000.000,00",3 campus,"R$ 72.849.771,09",28 obras em 16 campi,"R$ 147.849.771,09","R$ 929.041.270,24",220.55 mil,2.91 mil,52.17 mil,74,5.08 mil,367,SESU - Expansão§UFG§Cidade Ocidental§Novo Campus da Cidade Ocidental-x-SESU - Expansão§UFG§Cidade Ocidental§Novo Campus da Cidade Ocidental - Equipamentos-x-SETEC - Expansão§IF Goiano§Porangatu§Campus Porangatu-x-SETEC - Expansão§IFG§Cavalcante§Campus Cavalcante-x-SETEC - Expansão§IFG§Quirinópolis§Campus Quirinópolis
PA,PARÁ,"R$ 253.786.715,75","R$ 142.647.913,81",95,"R$ 395.466.652,27",39,"R$ 41.041.546,00","R$ 42.318.174,97",167,"R$ 0,00",0,"R$ 875.261.002,80","R$ 35.000.000,00",1 campus,"R$ 133.788.754,00",20 obras em 13 campi,"R$ 52.000.000,00",1 obra(s),"R$ 220.788.754,00","R$ 125.000.000,00",5 campus,"R$ 54.429.202,47",16 obras em 11 campi,"R$ 179.429.202,47","R$ 1.275.478.959,27",491.40 mil,6.47 mil,127.39 mil,360,9.47 mil,265,"HU Brasil§§Belém§Reestruturação das instalações de  Prevenção e Combate à Incêndio e Instalações Elétricas-x-HU Brasil§UTI§Belém§Construção de novo bloco assistencial de alta complexidade (UTI Adulto e UTI Pediátrica, Centro Cirúrgico, CME e laboratório);-x-SESU - Expansão§UFOPA§Rurópolis§Novo Campus de Rurópolis-x-SESU - Expansão§UFOPA§Rurópolis§Novo Campus de Rurópolis - Equipamentos-x-SETEC - Expansão§IFPA§Alenquer§Campus Alenquer - Salas de Aula, Laboratórios e Administrativo-x-SETEC - Expansão§IFPA§Barcarena§Campus Barcarena-x-SETEC - Expansão§IFPA§Redenção§Campus Redenção - Bloco Pedagógico, Guarita e Urbanização-x-SETEC - Expansão§IFPA§Tailândia§Campus Tailândia - Bloco Pedagógico, Guarita e Urbanização-x-SETEC - Expansão§IFPA§Viseu§Campus Viseu - Bloco Pedagógico, Guarita e Urbanização"
TO,TOCANTINS,"R$ 92.508.563,92","R$ 13.709.251,34",24,"R$ 245.415.376,06",23,"R$ 17.972.891,00","R$ 7.743.179,77",52,"R$ 0,00",0,"R$ 377.349.262,09","R$ 0,00",0 campus,"R$ 37.300.000,00",6 obras em 4 campi,"R$ 0,00",0 obra(s),"R$ 37.300.000,00","R$ 25.000.000,00",1 campus,"R$ 45.234.567,31",20 obras em 6 campi,"R$ 70.234.567,31","R$ 484.883.829,40",77.96 mil,1.13 mil,21.70 mil,55,1.68 mil,180,SETEC - Expansão§IFTO§Tocantinópolis§Campus Tocantinópolis - Bloco de 23 Sala de Aulas
MT,MATO GROSSO,"R$ 179.815.395,77","R$ 40.954.265,24",46,"R$ 133.883.464,16",12,"R$ 13.367.748,00","R$ 7.008.065,97",43,"R$ 0,00",0,"R$ 375.028.939,14","R$ 0,00",0 campus,"R$ 30.950.000,00",9 obras em 4 campi,"R$ 0,00",0 obra(s),"R$ 30.950.000,00","R$ 75.000.000,00",3 campus,"R$ 42.513.395,27",14 obras em 10 campi,"R$ 117.513.395,27","R$ 523.492.334,41",119.81 mil,1.72 mil,26.98 mil,38,2.67 mil,183,SETEC - Expansão§IFMT§Canarana§Campus Canarana-x-SETEC - Expansão§IFMT§Colniza§Campus Colniza - Salas Modulares-x-SETEC - Expansão§IFMT§Água Boa§Campus Água Boa
AL,ALAGOAS,"R$ 237.215.465,77","R$ 40.590.915,00",65,"R$ 160.679.740,39",16,"R$ 25.424.055,00","R$ 22.077.211,49",94,"R$ 0,00",0,"R$ 485.987.387,65","R$ 0,00",0 campus,"R$ 25.000.000,00",4 obras em 3 campi,"R$ 9.311.624,00",1 obra(s),"R$ 34.311.624,00","R$ 75.000.000,00",3 campus,"R$ 61.171.129,59",11 obras em 10 campi,"R$ 136.171.129,59","R$ 656.470.141,24",173.42 mil,1.78 mil,32.89 mil,33,3.12 mil,143,"HU Brasil§§Maceió§Reforma para reestruturação elétrica, construção do almoxarifado e abrigo de resíduos. Atualização da Comunicação Visual.-x-SETEC - Expansão§IFAL§Girau do Ponciano§Campus Girau do Ponciano-x-SETEC - Expansão§IFAL§Maceió§Campus Maceió-x-SETEC - Expansão§IFAL§Mata Grande§Campus Mata Grande"
AM,AMAZONAS,"R$ 80.890.447,73","R$ 102.535.315,02",44,"R$ 181.178.050,17",17,"R$ 12.879.982,00","R$ 15.573.433,93",58,"R$ 0,00",0,"R$ 393.057.228,85","R$ 60.000.000,00",1 campus,"R$ 46.500.000,00",6 obras em 4 campi,"R$ 0,00",0 obra(s),"R$ 106.500.000,00","R$ 50.000.000,00",2 campus,"R$ 61.025.135,87",12 obras em 11 campi,"R$ 111.025.135,87","R$ 610.582.364,72",253.42 mil,3.11 mil,44.54 mil,122,4.22 mil,91,SESU - Expansão§UFAM§São Gabriel da Cachoeira§Novo Campus de São Gabriel da Cachoeira -x-SESU - Expansão§UFAM§São Gabriel da Cachoeira§Novo Campus de São Gabriel da Cachoeira - Equipamentos-x-SETEC - Expansão§IFAM§Manicoré§Campus Manicoré-x-SETEC - Expansão§IFAM§Santo Antônio do Içá§Campus Santo Antônio do Içá
PI,PIAUÍ,"R$ 278.013.600,62","R$ 43.924.950,80",75,"R$ 389.415.424,16",41,"R$ 30.107.343,00","R$ 41.625.813,21",148,"R$ 0,00",0,"R$ 783.087.131,79","R$ 0,00",0 campus,"R$ 39.250.000,00",8 obras em 5 campi,"R$ 0,00",0 obra(s),"R$ 39.250.000,00","R$ 90.000.000,00",4 campus,"R$ 24.484.505,26",17 obras em 12 campi,"R$ 114.484.505,26","R$ 936.821.637,05",189.11 mil,2.99 mil,31.70 mil,123,4.32 mil,289,SETEC - Expansão§IFPI§Altos§Campus Altos-x-SETEC - Expansão§IFPI§Barras§Campus Barras-x-SETEC - Expansão§IFPI§Esperantina§Campus Esperantina-x-SETEC - Expansão§IFPI§Luzilândia§Campus Luzilândia
RO,RONDÔNIA,"R$ 61.574.224,19","R$ 47.703.910,53",24,"R$ 79.305.869,02",7,"R$ 9.458.746,00","R$ 4.789.799,66",31,"R$ 0,00",0,"R$ 202.832.549,40","R$ 0,00",0 campus,"R$ 16.300.000,00",6 obras em 3 campi,"R$ 0,00",0 obra(s),"R$ 16.300.000,00","R$ 25.000.000,00",1 campus,"R$ 27.506.734,05",11 obras em 8 campi,"R$ 52.506.734,05","R$ 271.639.283,45",66.59 mil,0.76 mil,7.05 mil,23,1.26 mil,106,SETEC - Expansão§IFRO§Buritis§Campus Buritis
