secretaria,sigla_uf,instituicao,descricao_empreendimento,municipio,valor_previsto
SESU,PE,UFRPE,Laboratórios para Fitossanidade do Campus Sede - UFRPE,Recife,10000000.0
SESU,PE,UNIVASF,Estruturas Acadêmicas do Campus Salgueiro - UNIVASF,Salgueiro,16000000.0
SESU,PI,UFDPAR,Restaurante Universitário do Campus Sede - UFDPar,Cruz das Almas,915720.0
SESU,PI,UFDPAR,Estruturas Acadêmicas do Campus Sede - UFDPAR,Parnaíba,22384280.0
SESU,PI,UFPI,Laboratórios do Campus Bom Jesus - UFPI,Bom Jesus ,1650000.0
SESU,PI,UFPI,Salas de Aula do Campus Senador Elvídio Nunes de Barros - UFPI,Picos,4100000.0
SESU,PI,UFPI,Biblioteca do Campus Ministro Petrônio Portella - UFPI,Teresina,2200000.0
SESU,PI,UFPI,Instalações Prediais complementares - Almoxarifado do Departamento de Química do Campus Ministro Petrônio Portella - UFPI,Teresina,2300000.0
SESU,PI,UFPI,Instalações Prediais complementares - Refeitório Setorial do Campus Ministro Petrônio Portella - UFPI,Teresina,3200000.0
SESU,PI,UFPI,Instalações Prediais complementares - Serviço Escola de Psicologia do Campus Ministro Petrônio Portella - UFPI,Teresina,2500000.0
SESU,PR,UFFS,Estruturas Acadêmicas do Centro de Pedagogia da Alternância do Campus Laranjeiras do Sul - UFFS,Laranjeiras do Sul,5000000.0
SESU,PR,UFFS,Instalações Prediais complementares - Centro de Referência em Controle de Qualidade de Alimentos da Agricultura Familiar do Campus Realeza - UFFS,Realeza,9000000.0
SESU,PR,UFPR,Estruturas Acadêmicas do Curso de Química do Centro Politécnico do Campus Sede - UFPR,Curitiba,12000000.0
SESU,PR,UFPR,Estruturas Acadêmicas do Campus Jandaia do Sul - UFPR,Jandaia do Sul,12000000.0
SESU,PR,UFPR,Complexo Esportivo no Setor Litoral - UFPR,Matinhos,
SESU,PR,UFPR,Estruturas Acadêmica do Centro de Estudos do Mar (CEM) do Campus Pontal do Paraná - UFPR,Pontal do Paraná,18000000.0
SESU,PR,UNILA,Complexo Acadêmico Niemeyer - UNILA - Retomada das obras das 6 unidades do Complexo,Foz do Iguaçu,752000000.0
SESU,PR,UNILA,Moradia Estudantil Indígena do Campus Integração - UNILA,Foz do Iguaçu,10000000.0
SESU,PR,UTFPR,Estruturas Acadêmicas do Campus Apucarana - UTFPR,Apucarana,5500000.0
SESU,PR,UTFPR,Estruturas Acadêmicas do Campo Mourão - UTFPR,Campo Mourão,2000000.0
SESU,PR,UTFPR,Salas de Aula do Campus Cornélio Procópio - UTFPR,Cornélio Procópio,5500000.0
SESU,PR,UTFPR,Laboratórios do Campus Curitiba - UTFPR,Curitiba,1000000.0
SESU,PR,UTFPR,Estruturas Acadêmicas do Campus Dois Vizinhos - UTFPR,Dois Vizinhos,3000000.0
SESU,PR,UTFPR,Estruturas Acadêmicas do Curso de Agronomia do Campus Francisco Beltrão - UTFPR,Francisco Beltrão,5500000.0
SESU,PR,UTFPR,Estruturas Acadêmicas do Campus Guarapuava - UTFPR,Guarapuava,4000000.0
SESU,PR,UTFPR,Estruturas Acadêmica do Campus Londrina - UTFPR,Londrina,1000000.0
SESU,PR,UTFPR,Estruturas Acadêmica do Curso de Engenharia Elétrica do Campus Medianeira - UTFPR,Medianeira,2000000.0
SESU,PR,UTFPR,Estruturas Acadêmicas do Campus Pato Branco - UTFPR,Pato Branco,7000000.0
SESU,PR,UTFPR,Estruturas Acadêmicas do Campus Ponta Grossa - UTFPR,Ponta Grossa,4500000.0
SESU,PR,UTFPR,Biblioteca do Campus Santa Helena - UTFPR,Santa Helena,1000000.0
SESU,PR,UTFPR,Biblioteca do Campus Toledo - UTFPR,Toledo,5500000.0
SESU,RJ,UFF,Complexo Esportivo e Cultural do Campus Campos dos Goytacazes - UFF,Campos dos Goytacazes,1000000.0
SESU,RJ,UFF,Estruturas Acadêmicas da Agência de Inovação do Campus Praia Vermelha - UFF,Niterói,9000000.0
SESU,RJ,UFF,Salas de Aula do Campus Praia Vermelha - UFF,Niterói,20000000.0
SESU,RJ,UFF,Complexo Esportivo e Cultural do Campus de Santo Antônio de Pádua - UFF,Santo Antônio de Pádua,1000000.0
SESU,RJ,UFF,Estruturas Acadêmicas do Campus Aterrado Volta Redonda - UFF,Volta Redonda,4500000.0
SESU,RJ,UFRJ,Construção dos Módulos Laboratoriais Anexos - Museu Nacional/ Universidade Federal do Rio de Janeiro -  Rio de Janeiro /RJ,Rio de Janeiro,2515491.0
SESU,RJ,UFRJ,Laboratório de Manuseio de Coleções em Meio Líquido/Universidade Federal do Rio de Janeiro -  Rio de Janeiro /RJ,Rio de Janeiro,2625000.0
SESU,RJ,UFRJ,Moradia Estudantil - Etapa 1 do Campus Sede Fundão - UFRJ,Rio de Janeiro,10000000.0
SESU,RJ,UFRJ,Moradia Estudantil - Etapa 2 do Campus Sede Fundão - UFRJ,Rio de Janeiro,44000000.0
SESU,RJ,UFRRJ,Estruturas Acadêmicas do Campus Sede Seropédica - UFRRJ,Seropédica,21000000.0
SESU,RJ,UFRRJ,Moradia Estudantil do Campus Sede Seropédica - UFRRJ,Seropédica,5000000.0
SESU,RJ,UFRRJ,Restaurante Universitário - Etapa 3 - do Campus Sede Seropédica - UFRRJ,Seropédica,500000.0
SESU,RJ,UNIRIO,Infraestrutura e urbanização do Novo Centro de Ciências Humanas e Sociais (CCH) do Campus Sede - UNIRIO,Rio de Janeiro,6800000.0
SESU,RJ,UNIRIO,Restaurante Universitário do Campus Sede UNIRIO,Rio de Janeiro,970000.0
SESU,RJ,UNIRIO,Salas de Aula do Centro de Ciências Humanas e Sociais do Campus Sede UNIRIO,Rio de Janeiro,15000000.0
SESU,RN,UFERSA,Complexo Esportivo do Campus Angicos - UFERSA,Angicos ,3500000.0
SESU,RN,UFERSA,Estruturas Acadêmicas do Campus Angicos - UFERSA,Angicos ,1800000.0
SESU,RN,UFERSA,Estruturas Acadêmicas do Campus Caraúbas - UFERSA,Caraúbas,1800000.0
SESU,RN,UFERSA,Estruturas Acadêmicas do Campus Mossoró-Leste - UFERSA,Mossoró,3900000.0
SESU,RN,UFERSA,Instalações predias complementares - Centro de Inovação Tecnológica e Empreendedorismo do Semi-Árido do Campus Mossoró - UFERSA,Mossoró,7300000.0
SESU,RN,UFERSA,Instalações predias complementares - Instituto de Popularização de Ciênicas do Semi árido (IMSA) do Campus Mossoró - UFERSA,Mossoró,2500000.0
SESU,RN,UFERSA,Salas de aula do Campus Mossoró-Leste - UFERSA,Mossoró,3900000.0
SESU,RN,UFRN,Complexo Esportivo do Campus de Caicó - CERES - UFRN,Caicó,6500000.0
SESU,RN,UFRN,Infraestrutura e urbanização da Escola Multicampi de Ciências Médicas do Campus Caicó - UFRN,Caicó,3000000.0
SESU,RN,UFRN,Instalações prediais complementares - Refeitório do Campus de Caicó - CERES - UFRN,Caicó,3500000.0
SESU,RN,UFRN,Complexo Esportivo do Campus de Currais Novos - FELCS - UFRN,Currais Novos,6500000.0
SESU,RN,UFRN,Complexo Esportivo do Campus de Macaíba - EAJ - UFRN,Macaíba,6500000.0
SESU,RN,UFRN,Instalações predias complementares - Teatro do DEART do Campus Central - UFRN,Natal,5900000.0
SESU,RN,UFRN,Complexo Esportivo do Campus de Santa Cruz - FACISA - UFRN,Santa Cruz,6500000.0
SESU,RN,UFRN,Estruturas Acadêmicas para cursos de Psicologia e Terapia Ocupacional - FACISA - UFRN,Santa Cruz,5600000.0
SESU,RO,UNIR,Estruturas acadêmicas do Instituto de Sustentabilidade do Campus Ariquemes - UNIR,Ariquemes,3600000.0
SESU,RO,UNIR,Complexo Cultural do Campus José Ribeiro Filho - UNIR,Porto Velho,1400000.0
SESU,RO,UNIR,Salas de Aula do curso de Enfermagem Campus José Ribeiro Filho - UNIR,Porto Velho,7000000.0
SESU,RO,UNIR,Instalações prediais complementares - Clínica Veterinária do Campus Rolim de Moura - UNIR,Rolim de Moura,700000.0
SESU,RO,UNIR,Instalações prediais complementares - Fazenda Experimental do Campus Rolim de Moura -  UNIR,Rolim de Moura,1800000.0
SESU,RO,UNIR,Restaurante Universitário do Campus Rolim de Moura - UNIR,Rolim de Moura,1800000.0
SESU,RR,UFRR,Estruturas Acadêmicas do Centro do Estudos da Biologia do Campus Paricarana - UFRR,Boa Vista,4700000.0
SESU,RR,UFRR,Laboratório de Sementes do Campus Murupú - UFRR,Boa Vista,700000.0
SESU,RR,UFRR,Salas de Aula do Anexo de Libras do Campus de Paricarana - UFRR,Boa Vista,2500000.0
SESU,RR,UFRR,Salas de Aula do Campus Murupú - UFRR,Boa Vista,500000.0
SESU,RS,FURG,Instalações Prediais complementares do Campus Sede do Rio Grande - FURG,Rio Grande,3500000.0
SESU,RS,FURG,Restaurante Universitário do Campus Santo Antônio da Patrulha - FURG,Santo Antônio da Patrulha,5000000.0
SESU,RS,FURG,Infraestrutura e Urbanização do Campus de São Lourenço do Sul - FURG,São Lourenço do Sul,5000000.0
SESU,RS,FURG,Moradia Estudantil do Campus São Lourenço do Sul - FURG,São Lourenço do Sul,3700000.0
SESU,RS,FURG,Restaurante Universitário do Campus São Lourenço do Sul - FURG,São Lourenço do Sul,5000000.0
SESU,RS,UFCSPA,Estruturas Acadêmicas do Campus Sede - UFCSPA,Porto Alegre,9000000.0
SESU,RS,UFCSPA,Instalações Prediais complementares - Clínica da Família do Campus Sede - UFCSPA,Porto Alegre,11300000.0
SESU,RS,UFFS,Salas de Aula do Campus Cerro Largo - UFFS,Cerro Largo,1800000.0
SESU,RS,UFFS,Salas de Aula do Campus Erechim - UFFS,Erechim,2500000.0
SESU,RS,UFFS,Construção da 1ª Etapa Restaurante Universitário e Centro Convivência Campus Passo Fundo/  Universidade Federal da Fronteira Sul,Passo Fundo,1294975.72
SESU,RS,UFFS,Restaurante Universitário - Etapa 2 do Campus Passo Fundo - UFFS,Passo Fundo ,3000000.0
SESU,RS,UFPel,Instalações Prediais complementares -  Hospital Veterinário no Campus Capão do Leão - UFPel,Pelotas,8000000.0
SESU,RS,UFPel,Instalações Prediais complementares - Curso de Odontologia do Campus Ângelo - UFPel,Pelotas,8000000.0
SESU,RS,UFPel,Instalações Prediais complementares - Escola Superior de Educação Física (ESEF) do Campus Norte - UFPel,Pelotas,5000000.0
SESU,RS,UFRGS,Novo Campus de Caxias do Sul ,Caxias do Sul,50000000.0
SESU,RS,UFRGS,Novo Campus de Caxias do Sul - Equipamentos,Caxias do Sul,10000000.0
SESU,RS,UFRGS,Infraestrutura e urbanização da Faculdade de Educação do Campus Sede - UFRGS,Porto Alegre,15000000.0
SESU,RS,UFRGS,Instalações Prediais Complementares do CITI HCPA - UFRGS,Porto Alegre,20000000.0
SESU,RS,UFRGS,Moradia Estudantil (Casa do Estudante Indígena) - UFRGS,Porto Alegre,2500000.0
SESU,RS,UFSM,Laboratórios do Campus Cachoeira do Sul - UFSM,Cachoeira do Sul,5000000.0
SESU,RS,UFSM,Instalações Prediais complementares - Pavilhão equoterapia do Campus Palmeira das Missões - UFSM,Palmeira das Missões,500000.0
SESU,RS,UFSM,Complexo Esportivo do Campus Sede Santa Maria - UFSM,Santa Maria,2000000.0
SESU,RS,UFSM,Instalações Prediais complementares - Parque de Exposições Multifeira do Campus Sede Santa Maria - Multifeira - UFSM,Santa Maria,2500000.0
SESU,RS,UFSM,Instalações Prediais complementares - Parque de Inovação do Campus Sede Santa Maria - Parque de Inovação -UFSM,Santa Maria,1500000.0
SESU,RS,UFSM,Moradia Estudantil - Casa do Estudante do Campus Sede Santa Maria - UFSM,Santa Maria,2000000.0
SESU,RS,UFSM,Moradia Estudantil Acessível do Campus Sede Santa Maria - UFSM,Santa Maria,3000000.0
SESU,RS,UFSM,Salas de Aula do Curso de Comunicação do Campus Sede Santa Maria - UFSM,Santa Maria,2000000.0
SESU,RS,UFSM,Salas de Aula do Curso de Sistemas de Informação do Campus Sede Santa Maria - UFSM,Santa Maria,1000000.0
SESU,RS,UNIPAMPA,Restaurante Universitário do Campus Alegrete - Unipampa,Alegrete,700000.0
SESU,RS,UNIPAMPA,Conclusão do Bloco V e Reservatório UNIPAMPA/Fundação Universidade Federal do Pampa -  Bagé /RS,Bagé,1276390.89
SESU,RS,UNIPAMPA,Estruturas Acadêmicas do Campus Bagé - Unipampa,Bagé,3500000.0
SESU,RS,UNIPAMPA,Estruturas Acadêmicas do curso de Música do Campus Bagé - Unipampa,Bagé,600000.0
SESU,RS,UNIPAMPA,Restaurante Universitário do Campus Bagé - Unipampa,Bagé,700000.0
SESU,RS,UNIPAMPA,Restaurante Universitário do Campus Caçapava do Sul - Unipampa,Caçapava do Sul,700000.0
SESU,RS,UNIPAMPA,Salas de Aula do Campus Dom Pedrito - Unipampa,Dom Pedrito,6000000.0
SESU,RS,UNIPAMPA,Construção do Prédio Acadêmico III Fase 3 - Campus Itaqui/Fundação Universidade Federal do Pampa -  Itaqui /RS,Itaqui,366654.98
SESU,RS,UNIPAMPA,Estruturas Acadêmicas - Etapa 3 - do Campus Itaqui - Unipampa,Itaqui,1800000.0
SESU,RS,UNIPAMPA,Instalações prediais complementares - Cozinha Escola do Campus Jaguarão - Unipampa,Jaguarão,600000.0
SESU,RS,UNIPAMPA,Estruturas Acadêmicas do Campus Santana do Livramento - Unipampa,Santana do Livramento,700000.0
SESU,RS,UNIPAMPA,Restaurante Universitário do Campus São Borja- Unipampa,São Borja,700000.0
SESU,RS,UNIPAMPA,Restaurante Universitário do Campus São Gabriel - Unipampa,São Gabriel ,700000.0
SESU,RS,UNIPAMPA,Estruturas Acadêmicas do Campus Uruguaiana - Unipampa,Uruguaiana,2500000.0
SESU,RS,UNIPAMPA,Infraestrutura e urbanização do Campus Uruguaiana - Unipampa,Uruguaiana,1000000.0
SESU,SC,UFFS,Moradia Estudantil do Campus Sede Chapecó - UFFS,Chapecó,2500000.0
SESU,SC,UFSC,Compra do Prédio para o Campus Blumenau - UFSC,Blumenau,28000000.0
SESU,SC,UFSC,Centro de Convivência do Núcleo de Estudos do Mar - UFSC,Florianópolis,3500000.0
SESU,SC,UFSC,Estruturas Acadêmicas (Bloco A) do Centro de Educação - UFSC,Florianópolis,4000000.0
SESU,SC,UFSC,Estruturas Acadêmicas do Campus dos Curitibanos - UFSC,Florianópolis,6000000.0
SESU,SC,UFSC,Estruturas Acadêmicas do Centro de Ciências Físicas e Matemáticas - UFSC,Florianópolis,7000000.0
SESU,SC,UFSC,Estruturas Acadêmicas do Centro de Tecnológia da Saúde do Campus Araranguá - UFSC,Florianópolis,4500000.0
SESU,SC,UFSC,Restaurante Universitário do Campus Sede - UFSC,Florianópolis,6000000.0
SESU,SE,UFS,Instalações Prediais complementares - Museu do Homem Sergipano - UFS,Aracaju,3009042.0
SESU,SE,UFS,Novo Campus de Estância ,Estância,50000000.0
SESU,SE,UFS,Novo Campus de Estância - Equipamentos,Estância,10000000.0
SESU,SE,UFS,2ª Etapa da Infraestrutura para Implantação do Campus Sertão - UFS,Nossa Senhora da Glória,2500000.0
SESU,SE,UFS,Laboratórios do Campus do Sertão - UFS,Nossa Senhora da Glória,7351470.5
SESU,SE,UFS,Complexo Esportivo e/ou Culturais do Campus São Cristóvão - UFS,São Cristovão,3500000.0
SESU,SE,UFS,Instalações Prediais complementares - Adequação e Climatização do PCIP do Campus São Cristóvão - UFS,São Cristovão,3900000.0
SESU,SE,UFS,Instalações Prediais complementares do Campus São Cristóvão - UFS,São Cristovão,650000.0
SESU,SE,UFS,Salas de Aula da Ecologia do Campus São Cristóvão - UFS,São Cristóvão,3500000.0
SESU,SE,UFS,Salas de Aula das Ciências Florestais e Agronômicas do Campus São Cristóvão - UFS,São Cristóvão,950000.0
SESU,SP,ITA,Alojamento Estudantil do ITA - Fase I - Novo H8,São José dos Campos,16500587.0
SESU,SP,UFABC,Construção Unidade Tamandauatehy - Santo André/SP.Bloco Anexo - I,Santo André,13938929.0
SESU,SP,UFABC,Equipamentos do Bloco H da Unidade Tamanduatehy - UFABC,Santo André,8000000.0
SESU,SP,UFABC,Infraestrutura e urbanização do Campus Santo André - UFABC,Santo André,22000000.0
SESU,SP,UFABC,Instalações Prediais complementares do Campus São Bernardo do Campo - UFABC,São Bernardo do Campo,22000000.0
SESU,SP,UFSCAR,Construção do Edifício do DEMEC - Universidade Federal de São Carlos,São Carlos,2008532.39
SESU,SP,UFSCar,Estruturas Acadêmicas do Campus Lagoa do Sino - UFSCar,Buri,11000000.0
SESU,SP,UFSCar,Infraestrutura elétrica e urbanização do Campus Lagoa do Sino - UFSCar,Buri,1000000.0
SESU,SP,UFSCar,Infraestrutura e urbanização do Campus Lagoa do Sino - UFSCar,Buri ,1000000.0
SESU,SP,UFSCar,Restaurante Universitário do Campus Sorocaba - UFSCar,Sorocaba,5000000.0
SESU,SP,UFSCar,Estruturas Acadêmicas do CIVISA do Campus Sede São Carlos  - UFSCar,São Carlos ,4200000.0
SESU,SP,UFSCar,Salas de Aula da Medicina do Campus Sede São Carlos - UFSCar,São Carlos ,4000000.0
SESU,SP,UFSCar,Salas de Aula das Artes e Comunicação do Campus Sede - UFSCar,São Carlos ,14000000.0
SESU,SP,UFSCar,Salas de Aulas das LIBRAS do Campus Sede - UFSCar,São Carlos ,4000000.0
SESU,SP,UFSCar,Novo Campus de São José do Rio Preto ,São José do Rio Preto,50000000.0
SESU,SP,UFSCar,Novo Campus de São José do Rio Preto - Equipamentos,São José do Rio Preto,10000000.0
SESU,SP,UNIFESP,Construção Edifício Acesso e Utilidades José Alencar,Diadema,2659980.22
SESU,SP,UNIFESP,Edifício Acadêmico  e Administrativ da Eppen - Campus Osasco/Universidade Federal de São Paulo /SP,Osasco,6000000.0
SESU,SP,UNIFESP,Complexo Esportivo do  Campus Baixada Santista - UNIFESP,Santos,25000000.0
SESU,SP,UNIFESP,Estruturas Acadêmicas do Campus Zona Leste - UNIFESP,São Paulo,110000000.0
SESU,TO,UFNT,Salas de Aula - Ala 1 Centro de Ciências Agrárias do Campus Araguaína - UFNT,Araguaína,6000000.0
SESU,TO,UFNT,Salas de Aula - Ala 2 do Campus Araguaína - UFNT,Araguaína,7000000.0
SESU,TO,UFNT,Salas de Aula - Ala 2 do Campus Tocantinópolis - UFNT,Tocantinópolis,7000000.0
SESU,TO,UFT,Instalações Prediais Complementares - Complexo Laboratorial e Hospital Veterinário - UFT,Gurupi,8000000.0
SESU,TO,UFT,Complexo Esportivo do Campus de Palmas - UFT,Palmas,6300000.0
SESU,TO,UFT,Estruturas Acadêmicas do Campus de Palmas - UFT,Palmas,3000000.0
SETEC,AC,IFAC,Construção Restaurante Estudantil Campus Cruzeiro do Sul,Cruzeiro do Sul,1700000.0
SETEC,AC,IFAC,6ª Fase de Reestruturação do Campus Rio Branco Baixada do Sol,Rio Branco,986390.15
SETEC,AC,IFAC,Aquisição de Mobiliários e Equipamentos - Reitoria e Campi,Rio Branco,1915097.2
SETEC,AC,IFAC,Construção Biblioteca Campus Rio Branco,Rio Branco,1000000.0
SETEC,AC,IFAC,Obra de 2ª etapa de construção da Reitoria,Rio Branco,1276000.0
SETEC,AC,IFAC,Construção Restaurante Estudantil Campus Sena Madureira,Sena Madureira,1700000.0
SETEC,AL,IFAL,Construção Restaurante Estudantil Campus Arapiraca,Arapiraca,1700000.0
SETEC,AL,IFAL,Aquisição de Mobiliários Pós-Obra para os Campi Batalha e Viçosa,Batalha,2314583.82
SETEC,AL,IFAL,Construção Sede do Campus Batalha,Batalha,15532101.19
SETEC,AL,IFAL,Usina Solar Fotovoltaica Campus Batalha,Batalha,672000.0
SETEC,AL,IFAL,Aquisição de Computadores,Maceió,1183151.13
SETEC,AL,IFAL,Construção do Restaurante Estudantil Campus Maceió - Benedito Bentes,Maceió,1820000.0
SETEC,AL,IFAL,Construção de Quadra no Campus Marechal Deodoro,Marechal Deodoro,1597165.53
SETEC,AL,IFAL,Usina Solar Fotovoltaíca Marechal Deodoro,Marechal Deodoro,1453800.0
SETEC,AL,IFAL,Construção Restaurante Estudantil Campus Palmeira dos Índios,Palmeira dos Índios,1700000.0
SETEC,AL,IFAL,Construção de quadra coberta para o Campus Penedo,Penedo,1374953.83
SETEC,AL,IFAL,Construção de quadra coberta para o Campus Piranhas,Piranhas,1506742.11
SETEC,AL,IFAL,Construção Sede do Campus Rio Largo,Rio Largo,13162041.06
SETEC,AL,IFAL,Construção Sede do Campus Santana do Ipanema,Santana do Ipanema,1559923.35
SETEC,AL,IFAL,Construção Sede do Campus Santana do Ipanema 2ª etapa,Santana do Ipanema,13489038.84
SETEC,AL,IFAL,Usina Fotovoltaica,São Miguel dos Campos,954600.0
SETEC,AL,IFAL,Construção de quadra coberta para o Campus Viçosa,Viçosa,1151028.73
SETEC,AM,IFAM,Construção Sede do Campus Avançado Boca do Acre,Boca do Acre,15532101.19
SETEC,AM,IFAM,Reforma e Ampliação do Refeitório - Campus Coari,Coari,337834.66
SETEC,AM,IFAM,Aquisição de mobiliário e ar condicionado para o Campus Eirunepé,Eirunepé,1899569.73
SETEC,AM,IFAM,Obra de Construção do Campus Eirunepé,Eirunepé,4821406.76
SETEC,AM,IFAM,Construção Sede do Campus Humaitá,Humaitá,15532101.19
SETEC,AM,IFAM,Construção Sede do Campus Iranduba,Iranduba,15532101.19
SETEC,AM,IFAM,Construção Restaurante Estudantil Campus Itacoatiara,Itacoatiara,1700000.0
SETEC,AM,IFAM,Construção de Cozinha e Refeitório - Campus Avançado Manacapuru,Manacapuru,788240.61
SETEC,AM,IFAM,Reforma e ampliação do refeitório - Campus Parintins,Parintins,950025.7
SETEC,AM,IFAM,Adequação de acessibilidade do IFAM Campus Presidente Figueiredo,Presidente Figueiredo,469310.0
SETEC,AM,IFAM,Reforma e Ampliação do Refeitório - Campus Presidente Figueiredo,Presidente Figueiredo,549620.37
SETEC,AM,IFAM,Reforma e ampliação Restaurante Estudantil Campus Tabatinga,Tabatinga,906641.26
SETEC,AM,IFAM,Obra de construção do Campus Tefé,Tefé,2006183.21
SETEC,AP,IFAP,Construção Biblioteca Campus Laranjal do Jari,Laranjal do Jari,1500000.0
SETEC,AP,IFAP,Aquisição de mobiliários e equipamentos diversos - Coleta 2023,Macapá,3265160.35
SETEC,AP,IFAP,Construção Biblioteca Campus Macapá,Macapá,1500000.0
SETEC,AP,IFAP,Construção Sede da Reitoria Reitoria do Instituto Federal do Amapá,Macapá,10000000.0
SETEC,AP,IFAP,Conclusão da Construção de Auditório no Campus Oiapoque,Oiapoque,1747430.79
SETEC,AP,IFAP,Construção Restaurante Estudantil Campus Oiapoque,Oiapoque,1700000.0
SETEC,AP,IFAP,Equipamento e Mobiliário Restaurante Estudantil Campus Oiapoque,Oiapoque,550000.0
SETEC,AP,IFAP,Construção Restaurante Estudantil Campus Porto Grande,Porto Grande,1700000.0
SETEC,AP,IFAP,Equipamento e Mobiliário Restaurante Estudantil Campus Porto Grande,Porto Grande,550000.0
SETEC,AP,IFAP,Construção Restaurante Estudantil Campus Santana,Santana,1700000.0
SETEC,AP,IFAP,Equipamento e Mobiliário Restaurante Estudantil Campus Santana,Santana,550000.0
SETEC,BA,IF Baiano,Construção Biblioteca Campus Governador Mangabeira,Governador Mangabeira,1500000.0
SETEC,BA,IF Baiano,Construção Restaurante Estudantil Campus Governador Mangabeira,Governador Mangabeira,1700000.0
SETEC,BA,IF Baiano,Equipamento e Mobiliário Restaurante Estudantil Campus Governador Mangabeira,Governador Mangabeira,550000.0
SETEC,BA,IF Baiano,Construção Restaurante Estudantil Campus Guanambi,Guanambi,1700000.0
SETEC,BA,IF Baiano,Equipamento e Mobiliário Restaurante Estudantil Campus Guanambi,Guanambi,550000.0
SETEC,BA,IF Baiano,Retorno da Obra Paralisada para Conclusão da Implantação do Campus Itaberaba,Itaberaba,7957093.04
SETEC,BA,IF Baiano,Construção Restaurante Estudantil Campus Itapetinga,Itapetinga,1700000.0
SETEC,BA,IF Baiano,Aquisição de equipamentos diversos para os Campi IF Baiano,Salvador,1983819.4
SETEC,BA,IF Baiano,Usinas Fotovoltaicas - Diversos Campi,Salvador,2371200.0
SETEC,BA,IF Baiano,Construção Biblioteca Campus Teixeira de Freitas,Teixeira de Freitas,1500000.0
SETEC,BA,IF Baiano,Construção Restaurante Estudantil Campus Teixeira de Freitas,Teixeira de Freitas,1700000.0
SETEC,BA,IF Baiano,Construção Biblioteca Campus Uruçuca,Uruçuca,1500000.0
SETEC,BA,IF Baiano,Construção Restaurante Estudantil Campus Uruçuca,Uruçuca,1700000.0
SETEC,BA,IF Baiano,Construção Biblioteca Campus Valença,Valença,1500000.0
SETEC,BA,IF Baiano,Construção Restaurante Estudantil Campus Valença,Valença,1700000.0
SETEC,BA,IF Baiano,Equipamento e Mobiliário Restaurante Estudantil Campus Valença,Valença,550000.0
SETEC,BA,IF Baiano,Construção Restaurante Estudantil Campus Xique-Xique,Xique-Xique,1700000.0
SETEC,BA,IF Baiano,Equipamento e Mobiliário Restaurante Estudantil Campus Xique-Xique,Xique-Xique,550000.0
SETEC,BA,IF Baiano,Retorno da Obra Paralisada para Conclusão da Implantação do Campus Xique-Xique,Xique-Xique,8308788.43
SETEC,BA,IFBA,Construção Restaurante Estudantil Campus Barreiras,Barreiras,1700000.0
SETEC,BA,IFBA,Instalação de telhado no Prédio VI do IFBA Campus Barreiras,Barreiras,343594.43
SETEC,BA,IFBA,Aquisição de elevador/plataforma para Diversas Unidades (Coleta 2023),Salvador,444390.0
SETEC,BA,IFBA,"Obra de reparo, tratamento de anomalias e reforma do Muro de arrimo",Salvador,3200000.0
SETEC,BA,IFBA,Construção Restaurante Estudantil Campus Simões Filho,Simões Filho,1700000.0
SETEC,BA,IFBA,Reforma e ampliação Restaurante Estudantil Campus Avançado Ubaitaba,Ubaitaba,1700000.0
SETEC,BA,IFBA,Construção Restaurante Estudantil Campus Valença Tento,Valença,1700000.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Acaraú,Acaraú,1533522.98
SETEC,CE,IFCE,Equipamento e Mobiliário Restaurante Estudantil Campus Acaraú,Acaraú,550000.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Acopiara,Acopiara,1586810.05
SETEC,CE,IFCE,Equipamento e Mobiliário Restaurante Estudantil Campus Acopiara,Acopiara,550000.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Aracati,Aracati,1544985.59
SETEC,CE,IFCE,Equipamento e Mobiliário Restaurante Estudantil Campus Aracati,Aracati,550000.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Baturité,Baturité,1700000.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Boa Viagem,Boa Viagem,1396136.26
SETEC,CE,IFCE,Equipamento e Mobiliário Restaurante Estudantil Campus Boa Viagem,Boa Viagem,550000.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Camocim,Camocim,1700000.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Canindé,Canindé,1480910.88
SETEC,CE,IFCE,Equipamento e Mobiliário Restaurante Estudantil Campus Canindé,Canindé,550000.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Caucaia,Caucaia,1700000.0
SETEC,CE,IFCE,Aquisição de 10 usinas fotovoltaicas de 35 KWp e 02 de 15KWp,Fortaleza,7886400.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Guaramiranga,Guaramiranga,1700000.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Horizonte,Horizonte,1700000.0
SETEC,CE,IFCE,Construção Restaurante Estudantil Campus Itapipoca,Itapipoca,1512490.26
SETEC,CE,IFCE,Equipamento e Mobiliário Restaurante Estudantil Campus Itapipoca,Itapipoca,550000.0
SETEC,CE,IFCE,Conclusão da Construção de Bloco Didático do Campus Jaguaribe,Jaguaribe,632760.0
