secretaria,sigla_uf,instituicao,descricao_empreendimento,municipio,valor_previsto
SESU,BA,UFSB,Infra do Núcleo Pedagógico  - Núcleo de Vivência e de Gestão Acadêmica - Campus Jorge Amado - Universidade Federal do Sul da Bahia.,Ilheus,2015867.49
SESU,BA,UFSB,Restaurante Universitário do Campus Jorge Amado - UFSB,Itabuna,933334.0
SESU,BA,UFSB,Novo Campus de Jequié,Jequié,50000000.0
SESU,BA,UFSB,Novo Campus de Jequié - Equipamentos,Jequié,10000000.0
SESU,BA,UFSB,Estruturas Acadêmicas do Núcleo Pedagógico NUPED do Campus Sosígenes Costa - UFSB,Porto Seguro,15900000.0
SESU,BA,UFSB,Restaurante Universitário do Campus Sosígenes Costa - UFSB,Porto Seguro,933333.0
SESU,BA,UFSB,Construção  Subestação Abrigada - Universidade Federal Sul da Bahia - Teixeira de Freitas.,Teixeira de Freitas,2421317.0
SESU,BA,UFSB,Construção do Núcleo Pedagógico do Campus Paulo Freire- UFSB,Teixeira de Freitas,1792142.81
SESU,BA,UFSB,Laboratórios do Campus Paulo Freire  - UFSB,Teixeira de Freitas,8900000.0
SESU,BA,UFSB,Restaurante Universitário do Campus Paulo Freire  - UFSB,Teixeira de Freitas,933333.0
SESU,BA,UNILAB,Blocos Anexos - Campus dos Malês/ Universidade da Integração Internacional da Lusofonia Afro-Brasileira -  São Francisco do Conde /BA,São Francisco do Conde,5250000.0
SESU,BA,UNILAB,Construção dos Blocos Anexos de Salas de Aulas - Etapa 2 - Campus Malês - UNILAB,São Francisco do Conde,4700000.0
SESU,BA,UNILAB,Estruturas Acadêmicas do Campus dos Malês - UNILAB,São Francisco do Conde,2300000.0
SESU,BA,UNILAB,Infraestrutura e urbanização do Campus dos Malês - UNILAB,São Francisco do Conde,2000000.0
SESU,BA,UNILAB,Restaurante Universitário do Campus Malês - UNILAB,São Francisco do Conde,3800000.0
SESU,BA,UNIVASF,Estruturas Acadêmicas do Campus Senhor do Bonfim - UNIVASF,Senhor do Bonfim,9500000.0
SESU,CE,UFC,Bloco de Laboratórios multiusuários Câmpus Crateús,Crateús,4530281.0
SESU,CE,UFC,Construção do Refeitório e Biblioteca do Campus Crateús/Universidade Federal do Ceará,Crateús,6157112.0
SESU,CE,UFC,Estruturas Acadêmicas do Curso de Odontologia do Campus Crateús - UFC,Crateús,15000000.0
SESU,CE,UFC,Conclusão Residência Univ. Benfica - Nº 1655,Fortaleza,2292217.32
SESU,CE,UFC,Construção do Bloco da Central Analítica - 2º Etapa - Campus do Pici,Fortaleza,1159875.92
SESU,CE,UFC,Estruturas Acadêmicas do Bloco Labomar do Campus Iracema  - UFC,Fortaleza,40000000.0
SESU,CE,UFC,Moradia Estudantil -  Univ. Benfica - Nº 2142 do Campus Sede - UFC,Fortaleza,3777328.0
SESU,CE,UFC,Novo Prédio do Hospital Walter Cantídio do Campus Porangabuçu - UFC,Fortaleza,78835805.65
SESU,CE,UFC,Reforma da Superintêndência de Tecnologia da Informação,Fortaleza,4480485.5
SESU,CE,UFC,Complexo Esportivo do Campus Itapajé - UFC,Itapagé,2000000.0
SESU,CE,UFC,Estruturas Acadêmicas do Campus Quixadá - UFC,Quixadá,6000000.0
SESU,CE,UFC,Estruturas Acadêmicas do Curso de Medicina do Campus Russas - UFC,Russas,10700000.0
SESU,CE,UFC,Biblioteca do Campus Sobral - UFC,Sobral,3600000.0
SESU,CE,UFC,Complexo Esportivo e/ou Culturais do Campus Sobral - UFC,Sobral,2000000.0
SESU,CE,UFC,Conclusão do Bloco Didático de Sobral - 2° etapa,Sobral,10468851.14
SESU,CE,UFCA,Ampliação do Compus da Sede de Barbalha - UFCA,Barbalha,69000000.0
SESU,CE,UFCA,Estruturas Acadêmicas do Campus Barbalha  - UFCA,Barbalha,100000.0
SESU,CE,UFCA,Estruturas Acadêmicas do Campus Brejo Santo  - UFCA,Brejo Santo,6000000.0
SESU,CE,UFCA,Instalações Prediais complementares - Auditório  do Campus Crato - UFCA,Crato,3000000.0
SESU,CE,UFCA,Instalações prediais complementares - Hospital Veterinário e Auditório do Campus Crato - UFCA,Crato,11144409.0
SESU,CE,UFCA,"Urbanização, Combate a Incêndio e Acessibilidade/Crato/Universidade Federal do Cariri",Crato,1886908.55
SESU,CE,UFCA,Estruturas Acadêmicas do Campus Icó  - UFCA,Icó,2642500.0
SESU,CE,UFCA,Biblioteca do Campus Juazeiro do Norte  - UFCA,Juazeiro do Norte,4500000.0
SESU,CE,UFCA,Estruturas Acadêmicas do Campus Juazeiro do Norte  - UFCA,Juazeiro do Norte,5500000.0
SESU,CE,UFCA,Restaurante Universitário do Campus Juazeiro do Norte  - UFCA,Juazeiro do Norte,3500000.0
SESU,CE,UNILAB,Novo Campus de Baturité - Aquisição do Prédio,Baturité,7000000.0
SESU,CE,UNILAB,Novo Campus de Baturité - Construção,Baturité,31872938.66
SESU,CE,UNILAB,Novo Campus de Baturité - Equipamentos,Baturité,10000000.0
SESU,CE,UNILAB,Novo Campus de Baturité - Reforma,Baturité,11127061.34
SESU,CE,UNILAB,Complexo Esportivo e/ou Culturais do Campus das Auroras - UNILAB,Redenção,5000000.0
SESU,CE,UNILAB,Estruturas Acadêmicas do Campus das Auroras - UNILAB,Redenção,4900000.0
SESU,CE,UNILAB,Infraestrutura e urbanização do Campus das Auroras - UNILAB,Redenção,4200000.0
SESU,CE,UNILAB,Moradia Estudantil do Campus das Auroras - UNILAB,Redenção,1100000.0
SESU,DF,UnB,Estruturas Acadêmicas da da Faculdade de Agronomia e Medicina Veterinária do Campus Darcy Ribeiro - UNB,Brasília,11900000.0
SESU,DF,UnB,Instalações predias complementares - Auditório do Campus Darcy Ribeiro - UNB,Brasília,47000000.0
SESU,ES,UFES,Estruturas Acadêmicas do Campus de Alegre  - UFES,Alegre,10000000.0
SESU,ES,UFES,Estruturas Acadêmicas do Curso de Medicina do Campus São Mateus - UFES,São Mateus,5000000.0
SESU,ES,UFES,Estruturas Acadêmicas do Curso de Engenharia Ambiental do Campus Goiabeiras - UFES,Vitória,8000000.0
SESU,ES,UFES,Estruturas Acadêmicas do do Centro de Ciências da Saúde do Campus Maruípe - UFES,Vitória,5000000.0
SESU,ES,UFES,Instalações Prediais - Auditório do Campus Goiabeiras - UFES,Vitória,5000000.0
SESU,GO,UFCAT,Estruturas Acadêmicas do Centro de Formação de Professores do Campus I Catalão - UFCAT,Catalão,11900000.0
SESU,GO,UFCAT,Estruturas Acadêmicas do Centro de Tecnologia  de Formação em Engenharia do Campus II Catalão - UFCAT,Catalão,2000000.0
SESU,GO,UFCAT,Laboratórios de Práticas da Saúde - Bloco B - Prédio da medicina,Catalão,7340866.95
SESU,GO,UFCAT,Laboratórios do Curso de Educação Física do Campus I Catalão - UFCAT,Catalão,7714660.05
SESU,GO,UFG,Restaurante Universitário do Campus de Aparecida de Goiânia- UFG,Aparecida de Goiânia,7500000.0
SESU,GO,UFG,Novo Campus da Cidade Ocidental,Cidade Ocidental,50000000.0
SESU,GO,UFG,Novo Campus da Cidade Ocidental - Equipamentos,Cidade Ocidental,10000000.0
SESU,GO,UFG,Estruturas Acadêmicas do Campus Sede Goiás - UFG,Goiás,6687000.0
SESU,GO,UFG,Moradia Estudantil Indígena do Campus Samambaia - UFG,Goiânia,17813000.0
SESU,GO,UFJ,Complexo Esportivo do Campus Riachuelo/Jatobá - UFJ,Jataí,2900000.0
SESU,GO,UFJ,Instalações prediais complementares  - Clínica do Serviço de Psicologia Aplicada do Campus Riachuelo/Jatobá - UFJ,Jataí,3600000.0
SESU,GO,UFJ,Moradia Estudantil do Campus Riachuelo/Jatobá - UFJ,Jataí,15000000.0
SESU,MA,UFMA,Estruturas Acadêmicas do Campus Bacabal - UFMA,Bacabal,2400000.0
SESU,MA,UFMA,Estruturas Acadêmicas do Campus Chapadinha - UFMA,Chapadinha,2400000.0
SESU,MA,UFMA,Estruturas Acadêmicas do Campus de Codó - UFMA,Codó,2400000.0
SESU,MA,UFMA,Estruturas Acadêmicas do Campus de Grajaú - UFMA,Grajaú,2400000.0
SESU,MA,UFMA,Salas de Aula do Campus Imperatriz - UFMA,Imperatriz,7000000.0
SESU,MA,UFMA,Estruturas Acadêmicas do Campus de Pinheiro - UFMA,Pinheiro,2400000.0
SESU,MA,UFMA,Estruturas Acadêmicas do Campus de São Bernardo - UFMA,São Bernardo,2400000.0
SESU,MA,UFMA,Complementação do Prédio da Biblioteca Central - Fundação Universidade Federal do Maranhão -  São Luís /MA,São Luís,1587941.24
SESU,MA,UFMA,Estruturas Acadêmicas do Centro de Ciências Biológicas da Saúde do Campus São Luís  - UFMA,São Luís,7600000.0
SESU,MA,UFMA,Infraestrutura e urbanização - Subestação eletríca do Campus São Luís  - UFMA,São Luís,9000000.0
SESU,MG,UFJF,Construção de Prédios - Farmácia e Nutrição - Campus Governador Valdares(GV).,Governador Valadares,3000000.0
SESU,MG,UFJF,Estruturas Acadêmicas do Campus Avançado de Governador Valadares - UFJF,Governador Valadares,63364948.0
SESU,MG,UFJF,Obras de Reforma da Edificação Unidade Vila Bretas,Governador Valadares,13635052.0
SESU,MG,UFJF,Laboratórios do Campus Sede - Juiz de Fora - UFJF,Juiz de Fora,6000000.0
SESU,MG,UFLA,Instalações Prediais complementares do Campus Sede - UFLA,Lavras ,15000000.0
SESU,MG,UFLA,Biblioteca do Campus Paraíso - UFLA,São Sebastião do Paraíso ,3000000.0
SESU,MG,UFLA,Salas de Aula do Campus Paraíso  - UFLA,São Sebastião do Paraíso ,24000000.0
SESU,MG,UFMG,Complexo Esportivo e/ou Culturais do Campus Sede Pampulha - UFMG,Belo Horizonte,25000000.0
SESU,MG,UFMG,Escola de Belas Artes - Anexo Administrativo e da Gravura/Universidade Federal de Minas Gerais -  Belo Horizonte /MG.,Belo Horizonte,1500000.0
SESU,MG,UFMG,Salas de Aula do Campus Sede Pampulha - UFMG,Belo Horizonte,2000000.0
SESU,MG,UFMG,Salas de Aula do Campus da Saúde - UFMG,Belo Horizonte,15000000.0
SESU,MG,UFMG,Complexo Esportivo e/ou Culturais do Campus Sede Pampulha - UFMG,Pampulha,8200000.0
SESU,MG,UFOP,Novo Campus de Ipatinga,Ipatinga,50000000.0
SESU,MG,UFOP,Novo Campus de Ipatinga - Equipamentos,Ipatinga,10000000.0
SESU,MG,UFOP,Estruturas Acadêmicas do Campus João Molevade - UFOP,João Molevade,3000000.0
SESU,MG,UFOP,Estruturas Acadêmicas e Auditório Multiuso do Campus Sede - UFOP,Ouro Preto,27600000.0
SESU,MG,UFSJ,Complexo Esportivo e/ou Culturais do Campus Centro Oeste - UFSJ,Centro Oeste,966667.0
SESU,MG,UFSJ,Instalações Prediais complementares do Campus Centro Oeste - UFSJ,Divinópolis,1500000.0
SESU,MG,UFSJ,Restaurante Universitário do Campus Alto Centro Oeste- UFSJ,Divinópolis,825000.0
SESU,MG,UFSJ,Instalações Prediais complementares do Campus Dom Bosco - UFSJ,Dom Bosco,1500000.0
SESU,MG,UFSJ,Biblioteca do Campus Alto Paraopeba - CAP - UFSJ,Ouro Branco,1200000.0
SESU,MG,UFSJ,Complexo Esportivo e/ou Culturais  do Campus Alto Paraopeba - UFSJ,Ouro Branco,966667.0
